star,sample,lT,lL,tier,alpha0,nuchar,gamma,vsini,a0_ok,sys_nu,sys_a0,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_M,ev_R,f_rot,log_alpha0,log_nuchar,rotmod_candidate
HD 44743,Bowman2020_Galactic,4.37,3.2,A,133.771,1.96975,1.3504,24.0,True,0.0,0.0,0.8570278710433393,1.073236256610726,0.9195959754525002,0.0,12.0,0.04789825530977229,11.836853065399957,8.309903403350473,0.05708567452140776,2.1263619736332124,0.2944111091513148,False
HD 54764,Bowman2020_Galactic,4.3,3.97,A,1949.927,0.96136,2.04624,123.0,True,0.0,0.0,1.0007557699214384,1.4073810075712794,1.6136058346507904,2.0,27.209585011503464,0.2899733373673206,25.549417761656315,41.077673121130196,0.05918493126167192,3.2900183528545086,-0.017113951835696455,False
HD 52089,Bowman2020_Galactic,4.34,3.6,A,222.135,1.30671,1.63586,26.0,True,0.0,0.0,1.0007796654674532,1.1914190617246385,1.241907865788649,2.0,16.054611973788525,0.026698581612643303,15.538856703600132,17.45451821513542,0.029442680957226883,2.3466169921788635,0.11617921468510543,False
HD 51309,Bowman2020_Galactic,4.2,3.64,A,1572.988,0.66617,2.15494,27.0,True,0.0,0.0,1.0017714519902252,1.20222027716509,1.5447746100535722,2.0,16.488165005770103,0.29881158438074007,15.930165111698308,35.05698881371537,0.015223027252777474,3.196725409493178,-0.17641492902673936,False
HD 46769,Bowman2020_Galactic,4.11,3.16,A,6.763,1.02897,2.76723,70.0,True,0.0,0.0,1.001744091484536,0.9840144405580512,1.3738192721120517,2.0,9.81385102983112,0.13556835497655836,9.638610720633231,23.6493534531993,0.05850468409716729,0.8301393874253428,0.012402712931154488,False
HD 27563,Bowman2020_Galactic,4.16,2.61,A,264.68,0.97211,3.49058,34.0,True,0.0,0.0,0.9992358279510868,0.7681664228417239,0.8921865613432267,1.8208685687189694,5.868124892838594,0.10814865134902395,5.863628173142174,7.801651767327889,0.08613987286821023,2.4227211259715578,-0.012284589302076338,False
HD 53244,Bowman2020_Galactic,4.14,2.74,A,10.428,0.79102,3.30717,36.0,True,0.0,0.0,1.0010221505933696,0.8049780232159301,1.0155164788049182,2.0,6.387373278545928,0.022837013825971756,6.382311886954167,10.363739277024314,0.06865906623678722,1.0182010224962914,-0.1018125357440037,False
HD 37128,Bowman2020_Galactic,4.47,4.05,A,2562.785,0.87736,2.28089,55.0,True,0.0,0.0,0.9722600497694462,1.506525772480786,1.3581011402951342,0.0,35.84917081867049,0.12162546636381978,32.10153299745148,22.808731893353603,0.047662127046219374,3.4087121733983725,-0.05682216953817564,False
HD 38771,Bowman2020_Galactic,4.47,4.06,A,1159.94,0.87575,1.91176,53.0,True,0.0,0.0,0.9738601528018225,1.5173941383016065,1.3738673476064622,0.0,36.98285474936768,0.12157363404738537,32.91502113571522,23.651971532264756,0.044291500425357226,3.064435525138261,-0.05761985401026997,False
HD 53138,Bowman2020_Galactic,4.23,4.13,A,1313.016,0.44918,2.39756,37.0,True,0.0,0.0,1.0003502727612903,1.5168025352029704,1.8912568925695614,2.0,37.093829342898964,0.07240474324492958,32.87021427686936,77.84969090286437,0.009394132950838269,3.118270018297684,-0.3475795891937662,False
HD 39985,Bowman2020_Galactic,4.11,2.34,A,8.6,1.02655,1.82852,26.0,True,0.0,0.0,0.989525174297445,0.6842479746692163,0.8089936411818608,0.0,4.838043114952928,0.175690861459249,4.833346990546342,6.441598338382996,0.07977954912341542,0.9344984512435677,0.011380107330827807,False
HD 37061,Bowman2020_Galactic,4.49,3.07,A,34.886,1.64256,2.41671,210.0,True,0.0,0.0,0.0035505344775997984,1.1734820721483672,0.6773417106675492,0.0,14.914592029183726,0.2862893970348798,14.910152044724114,4.757093753763829,0.8725482560357171,1.5426511764554052,0.2155212425806687,True
HD 37742,Bowman2020_Galactic,4.47,4.15,A,829.56,1.41864,2.41592,122.0,True,0.0,0.0,0.9742900165711389,1.589312969853259,1.4540927856781272,0.0,45.74274587781275,0.13696864352429267,38.843018337284796,28.450688827229335,0.08475765172737953,2.918847802930058,0.1518722010604934,False
HD 57682,Bowman2020_Galactic,4.54,3.62,A,159.073,1.11609,1.16316,12.0,True,0.0,0.0,0.5504040255009541,1.372203916043905,0.9351554638179933,0.0,24.000000000000004,0.15287912903777442,23.561553193478773,8.61302016143914,0.027538333366024577,2.201596471625854,0.047699216937928536,False
