key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp
HD193237,67.0,37.0,SimonDiaz2017,B1 pe,,,
HD193432,31.0,24.0,SimonDiaz2017,B9 IV,,,
HD193514,98.0,62.0,SimonDiaz2017,O7 Ib(f),4.54,4.16,
HD194279,59.0,50.0,SimonDiaz2017,B1.5 Ia,4.25,4.29,
HD194280,56.0,120.0,SimonDiaz2017,OC9.7 Iab,4.44,3.99,
HD194839,91.0,67.0,SimonDiaz2017,B0.5 Iae,4.39,4.29,
HD195556,11.0,158.0,SimonDiaz2017,B2.5 IV,4.23,3.19,
HD195810,35.0,49.0,SimonDiaz2017,B6 III,4.13,2.42,
HD195986,18.0,35.0,SimonDiaz2017,B4 III,4.19,2.73,
HD196025,16.0,38.0,SimonDiaz2017,B2 IV-V,4.28,2.71,
HD196867,61.0,134.0,SimonDiaz2017,B9 IV,,,
HD197226,39.0,95.0,SimonDiaz2017,B6 III,4.13,2.23,
HD197392,28.0,28.0,SimonDiaz2017,B8 II-III,4.14,2.72,
HD197511,45.0,36.0,SimonDiaz2017,B2 V,4.22,2.71,
HD197512,20.0,13.0,SimonDiaz2017,B1 V,4.35,2.9,
HD198001,35.0,102.0,SimonDiaz2017,B9.5 V,,,
HD198183,53.0,150.0,SimonDiaz2017,B5 V,4.17,2.6,
HD19820,54.0,144.0,SimonDiaz2017,O8.5 III(n)((f)),4.51,3.91,
HD198478,54.0,38.0,SimonDiaz2017,B2.5 Ia,4.2,4.11,
HD198820,31.0,34.0,SimonDiaz2017,B3 III,4.17,2.6,
HD199140,37.0,21.0,SimonDiaz2017,B2 III,4.36,3.59,
HD199216,60.0,36.0,SimonDiaz2017,B1 II,4.38,3.93,
HD199478,46.0,43.0,SimonDiaz2017,B8 Ia,4.09,3.97,
HD199578,29.0,25.0,SimonDiaz2017,B7 III,4.15,2.39,
HD199579,70.0,66.0,SimonDiaz2017,O6.5 V((f))z,4.6,3.83,
HD200340,45.0,116.0,SimonDiaz2017,B8 III,4.14,2.62,
HD2011,113.0,111.0,SimonDiaz2017,B9 III,,,
HD201345,70.0,93.0,SimonDiaz2017,ON9.2 IV,4.52,3.79,
HD201795,10.0,8.0,SimonDiaz2017,B1 V,4.43,2.81,
HD201912,13.0,19.0,SimonDiaz2017,B5 III,4.21,2.71,
HD202124,122.0,84.0,SimonDiaz2017,O9 Iab,4.51,4.19,
HD202214,25.0,21.0,SimonDiaz2017,O9.5 IV,4.49,3.36,
HD202753,24.0,38.0,SimonDiaz2017,B7 III,4.11,2.12,
HD202850,37.0,40.0,SimonDiaz2017,B9 Iab,4.07,3.75,
HD20365,19.0,128.0,SimonDiaz2017,B3 V,4.2,2.59,
HD204172,85.0,52.0,SimonDiaz2017,B0 Ib,4.46,4.05,
HD204536,16.0,74.0,SimonDiaz2017,B3 III,4.18,2.76,
HD205021,23.0,32.0,SimonDiaz2017,B1 III,4.44,3.14,
HD205139,63.0,35.0,SimonDiaz2017,B1 Ib,4.41,3.91,
HD206165,59.0,39.0,SimonDiaz2017,B2 Ib,4.28,4.03,
HD206183,27.0,15.0,SimonDiaz2017,O9.5 IV-V,4.52,3.36,
HD207198,83.0,71.0,SimonDiaz2017,O8.5 II((f)),4.52,4.15,
HD207330,47.0,37.0,SimonDiaz2017,B2.5 III,4.23,3.24,
HD207538,42.0,37.0,SimonDiaz2017,O9.7 IV,4.51,3.51,
HD207563,26.0,102.0,SimonDiaz2017,B2 V,,,
HD207840,21.0,19.0,SimonDiaz2017,B8 III,4.11,2.09,
HD208218,39.0,21.0,SimonDiaz2017,B1 III,4.33,3.42,
HD208266,2.0,135.0,SimonDiaz2017,B1 V,4.33,3.2,
HD2083,34.0,26.0,SimonDiaz2017,B0.2 V,4.47,3.28,
HD208440,21.0,95.0,SimonDiaz2017,B1 V,4.31,3.12,
HD208501,52.0,34.0,SimonDiaz2017,B8 Ib,4.13,3.97,
HD208947,66.0,148.0,SimonDiaz2017,B2 V,4.27,2.71,
