star,sample,galaxy,Z_proxy,logTeff,logg,logL_spec,logL_class,vsini,vmac,nuchar,alpha0,gamma,Cw,alpha0_kind,SpType,mass,tau,n_sect,ref,key,log_nuchar,log_alpha0,logL_use,dup_B2020_Shen
HD 206183,Shen2024_Galactic,MW,0.014,4.528916700277655,4.04,3.47,,29.0,27.0,0.44,63.349999999999994,1.6400000000000001,4.26,amplitude_umag,O9.5 IV-V,20.0,0.42,2.0,Shen2024,HD206183,-0.3565473235138126,1.80174661921946,3.47,False
HD 210809,Shen2024_Galactic,MW,0.014,4.489958479424835,3.12,4.23,,105.0,112.0,0.435,5514.71,1.58,5.130000000000001,amplitude_umag,O9 Iab,60.4,0.71,2.0,Shen2024,HD210809,-0.3615107430453627,3.7415226792945746,4.23,False
HD 207538,Shen2024_Galactic,MW,0.014,4.505149978319906,3.8,3.61,,50.0,42.0,0.405,298.135,1.32,4.205,amplitude_umag,O9.7 IV,20.6,0.68,2.0,Shen2024,HD207538,-0.3925449767853314,2.474412963669667,3.61,False
BD +60 2522,Shen2024_Galactic,MW,0.014,4.558708570533166,3.55,4.07,,,,1.3900000000000001,2047.295,1.98,7.015000000000001,amplitude_umag,O6.5 ... (n)fp,35.4,0.7,2.0,Shen2024,BD+602522,0.14301480025409513,3.311180425779933,4.07,False
HD 225160,Shen2024_Galactic,MW,0.014,4.521138083704036,3.35,4.12,,103.0,107.0,0.8699999999999999,3203.0150000000003,1.8450000000000002,6.6,amplitude_umag,O8 Iab f,36.8,0.75,2.0,Shen2024,HD225160,-0.06048074738138153,3.50555897250771,4.12,False
BD +60 261,Shen2024_Galactic,MW,0.014,4.544068044350276,3.5,4.07,,92.0,111.0,1.53,641.62,2.04,7.78,amplitude_umag,O7.5 III (n)((f)),43.0,0.71,1.0,Shen2024,BD+60261,0.1846914308175988,2.8072778929230244,4.07,False
HD 13022,Shen2024_Galactic,MW,0.014,4.477121254719663,3.24,4.06,,131.0,86.0,1.83,1134.29,2.04,8.81,amplitude_umag,O9.7 II-III,37.8,0.82,1.0,Shen2024,HD13022,0.26245108973042947,3.05472410332088,4.06,False
HD 12993,Shen2024_Galactic,MW,0.014,4.593286067020458,3.89,3.87,,79.0,80.0,3.46,147.66,1.71,8.26,amplitude_umag,O6.5 V ((f)) Nstr,35.6,0.51,1.0,Shen2024,HD12993,0.5390760987927766,2.169262864086446,3.87,False
HD 13268,Shen2024_Galactic,MW,0.014,4.534026106056135,3.61,3.92,,,47.0,4.53,363.98,2.44,8.77,amplitude_umag,ON8.5 III n,32.6,0.72,1.0,Shen2024,HD13268,0.6560982020128319,2.561077520659303,3.92,False
HD 14442,Shen2024_Galactic,MW,0.014,4.592176757395867,3.62,4.14,,,,4.08,608.57,2.6,8.46,amplitude_umag,O5 ... n(f)p,35.0,0.69,1.0,Shen2024,HD14442,0.6106601630898799,2.784310539616651,4.14,False
BD +62 424,Shen2024_Galactic,MW,0.014,4.587710965018911,3.8,3.94,,65.0,85.0,2.525,1827.21,1.8900000000000001,10.46,amplitude_umag,O6.5 V (n)((f)),36.8,0.57,2.0,Shen2024,BD+62424,0.4022613824546802,3.261788463389821,3.94,False
HD 13745,Shen2024_Galactic,MW,0.014,4.477121254719663,3.29,4.01,,57.0,14.0,1.34,1694.79,2.01,6.32,amplitude_umag,O9.7 II (n),33.4,0.83,1.0,Shen2024,HD13745,0.12710479836480765,3.229115892809698,4.01,False
BD +60 498,Shen2024_Galactic,MW,0.014,4.515873843711679,3.99,3.46,,40.0,,0.26,168.7,1.38,8.06,amplitude_umag,O9.7 II-III,19.2,0.48,1.0,Shen2024,BD+60498,-0.585026652029182,2.2271150825891253,3.46,False
BD +60 499,Shen2024_Galactic,MW,0.014,4.534026106056135,3.87,3.66,,38.0,30.0,0.53,64.41,1.56,7.96,amplitude_umag,O9.5 V,22.4,0.61,1.0,Shen2024,BD+60499,-0.27572413039921095,1.8089532991559112,3.66,False
BD +60 501,Shen2024_Galactic,MW,0.014,4.578639209968072,3.89,3.81,,87.0,,2.38,463.81,2.1,6.7,amplitude_umag,O7 V (n)((f))z,30.8,0.53,1.0,Shen2024,BD+60501,0.37657695705651195,2.666340108032026,3.81,False
HD 14947,Shen2024_Galactic,MW,0.014,4.592176757395867,3.65,4.11,,22.0,22.0,1.0,2574.9,1.82,8.34,amplitude_umag,O4.5 I f,48.2,0.59,1.0,Shen2024,HD14947,0.0,3.4107603672445874,4.11,False
HD 15642,Shen2024_Galactic,MW,0.014,4.47567118832443,3.52,3.77,,,243.0,3.13,594.69,2.14,7.92,amplitude_umag,O9.5 II-III n,23.4,0.81,1.0,Shen2024,HD15642,0.49554433754644844,2.774290635688897,3.77,False
HD 18409,Shen2024_Galactic,MW,0.014,4.477121254719663,3.15,4.15,,102.0,88.0,0.8,3571.3450000000003,1.7,7.17,amplitude_umag,O9.7 Ib,46.2,0.79,2.0,Shen2024,HD18409,-0.09691001300805639,3.552831806048001,4.15,False
HD 16832,Shen2024_Galactic,MW,0.014,4.505149978319906,3.37,4.04,,70.0,60.0,3.57,322.28,2.37,7.22,amplitude_umag,O9.2 III,38.0,0.78,1.0,Shen2024,HD16832,0.5526682161121932,2.508233354972011,4.04,False
HD 24431,Shen2024_Galactic,MW,0.014,4.54282542695918,3.77,3.79,,81.0,51.0,4.19,211.67,2.35,2.94,amplitude_umag,O9 III,27.6,0.66,1.0,Shen2024,HD24431,0.6222140229662954,2.3256593098016407,3.79,False
HD 46573,Shen2024_Galactic,MW,0.014,4.565847818673518,3.72,3.93,,81.0,81.0,4.0600000000000005,281.76,2.08,5.385,amplitude_umag,O7 V ((f))z,33.8,0.63,2.0,Shen2024,HD46573,0.6085260335771941,2.4498793386232016,3.93,True
HD 54879,Shen2024_Galactic,MW,0.014,4.525044807036846,4.09,3.4,,8.0,10.0,0.53,78.225,2.015,5.105,amplitude_umag,O9.7 V,19.2,0.35,2.0,Shen2024,HD54879,-0.27572413039921095,1.8933455718182308,3.4,True
BD +39 1328,Shen2024_Galactic,MW,0.014,4.515873843711679,3.42,4.03,,37.0,,0.36,5915.69,1.47,10.2,amplitude_umag,O8.5 Iab (n)(f),39.2,0.76,1.0,Shen2024,BD+391328,-0.44369749923271273,3.7720054075802856,4.03,False
HD 36483,Shen2024_Galactic,MW,0.014,4.523746466811565,3.86,3.62,,74.0,72.0,2.56,169.54,1.86,5.23,amplitude_umag,O9.5 IV (n),21.6,0.59,1.0,Shen2024,HD36483,0.4082399653118496,2.22927217882129,3.62,False
HDE 344783,Shen2024_Galactic,MW,0.014,4.471291711058939,3.62,3.67,,,,0.255,187.63500000000002,1.15,11.525,amplitude_umag,O9.7 III,21.2,0.79,2.0,Shen2024,HD344783,-0.5934598195660448,2.2733138515755824,3.67,False
Cyg X-1,Shen2024_Galactic,MW,0.014,4.442479769064448,3.08,4.09,,,81.0,0.35,5491.73,1.53,5.775,amplitude_umag,O9.7 Iab,39.6,0.84,2.0,Shen2024,CYGX-1,-0.4559319556497244,3.739709177072986,4.09,False
HD 191612,Shen2024_Galactic,MW,0.014,4.556302500767287,3.75,3.89,,45.0,69.0,2.47,247.73,2.0,6.0,amplitude_umag,O8,33.2,0.66,5.0,Shen2024,HD191612,0.39269695325966575,2.3939786026517718,3.89,False
BD +36 4063,Shen2024_Galactic,MW,0.014,4.44870631990508,3.13,4.04,,,,0.18,10709.19,1.27,8.35,amplitude_umag,O9.7 Ib,35.4,0.86,3.0,Shen2024,BD+364063,-0.744727494896694,4.029756623788573,4.04,False
HD 229232,Shen2024_Galactic,MW,0.014,4.632457292184724,3.81,4.11,,,,6.225,239.51,2.535,7.23,amplitude_umag,O4 V: n((f)),36.4,0.6,2.0,Shen2024,HD229232,0.794139355767774,2.3793236507533155,4.11,False
HDE 229196,Shen2024_Galactic,MW,0.014,4.583198773968623,3.55,4.18,,,25.0,2.71,440.54,2.02,4.33,amplitude_umag,O6 II,64.8,0.59,1.0,Shen2024,HD229196,0.4329692908744057,2.643985347459971,4.18,False
Cyg OB2-5,Shen2024_Galactic,MW,0.014,4.552668216112194,3.44,4.14,,,,0.25,5858.33,1.35,5.46,amplitude_umag,O7 Ia,54.6,0.68,3.0,Shen2024,CYGOB2-5,-0.6020599913279624,3.767773831862893,4.14,False
Cyg OB2-24,Shen2024_Galactic,MW,0.014,4.570542939881897,3.95,3.73,,,,3.05,359.51,2.76,6.9350000000000005,amplitude_umag,O8 V,29.0,0.5,2.0,Shen2024,CYGOB2-24,0.48429983934678583,2.5557109750649865,3.73,False
CYG OB2-11,Shen2024_Galactic,MW,0.014,4.571708831808688,3.63,4.05,,85.0,85.0,1.56,1504.3,2.35,6.43,amplitude_umag,O5.5 I fc,37.0,0.64,3.0,Shen2024,CYGOB2-11,0.1931245983544616,3.1773344555057,4.05,False
HD 203064,Shen2024_Galactic,MW,0.014,4.547774705387822,3.69,3.89,,,44.0,2.43,544.625,2.0700000000000003,4.5,amplitude_umag,O7.5 III n((f)),32.0,0.69,4.0,Shen2024,HD203064,0.38560627359831223,2.73609757294381,3.89,False
HD 108,Shen2024_Galactic,MW,0.014,4.544068044350276,3.5,4.04,,45.0,84.0,1.12,373.14,1.63,4.8100000000000005,amplitude_umag,O8,41.2,0.71,4.0,Shen2024,HD108,0.04921802267018165,2.5718718071971667,4.04,False
BD +60 586,Shen2024_Galactic,MW,0.014,4.5843312243675305,4.1,3.63,,77.0,,0.24000000000000002,344.83000000000004,1.335,5.63,amplitude_umag,O7 V z,27.4,0.24,2.0,Shen2024,BD+60586,-0.619788758288394,2.5376050421517773,3.63,False
HD 15137,Shen2024_Galactic,MW,0.014,4.472756449317212,3.5,3.48,,,145.0,2.37,989.99,2.17,6.39,amplitude_umag,O9.5 II-III,16.0,0.8,1.0,Shen2024,HD15137,0.37474834601010387,2.9956308077624456,3.48,False
HD 16691,Shen2024_Galactic,MW,0.014,4.598790506763115,3.74,4.05,,88.0,88.0,2.34,1265.77,2.38,6.96,amplitude_umag,O4 I f,42.4,0.58,1.0,Shen2024,HD16691,0.3692158574101428,3.1023547982520574,4.05,False
HD 17603,Shen2024_Galactic,MW,0.014,4.52244423350632,3.26,4.22,,108.0,115.0,0.88,2986.24,1.9,7.55,amplitude_umag,O7.5 Ib (f),55.2,0.69,1.0,Shen2024,HD17603,-0.05551732784983137,3.475124708441621,4.22,False
HD 14633,Shen2024_Galactic,MW,0.014,4.544068044350276,3.79,3.78,,69.0,84.0,4.19,189.27,2.07,5.0,amplitude_umag,ON8.5 V,27.4,0.64,1.0,Shen2024,HD14633,0.6222140229662954,2.277081782125646,3.78,False
HD 237211,Shen2024_Galactic,MW,0.014,4.487138375477186,3.09,4.25,,82.0,86.0,0.67,3358.48,1.7,8.2,amplitude_umag,O9 Ib,60.4,0.71,1.0,Shen2024,HD237211,-0.17392519729917355,3.5261427663862372,4.25,False
HDE 305524,Shen2024_Galactic,MW,0.014,4.606381365110605,3.92,3.89,,,,2.3949999999999996,304.73,1.835,12.399999999999999,amplitude_umag,O6.5 V,39.2,0.48,4.0,Shen2024,HD305524,0.37930551775058197,2.4839152116664085,3.89,False
HDE 305438,Shen2024_Galactic,MW,0.014,4.570542939881897,3.95,3.73,,,,0.215,260.39,1.445,9.615,amplitude_umag,O8 V,29.0,0.5,4.0,Shen2024,HD305438,-0.6675615400843947,2.415624301600413,3.73,False
HD 93190,Shen2024_Galactic,MW,0.014,4.488550716500444,3.92,3.43,,,,1.07,464.23,1.9,6.51,amplitude_umag,O9.7 V,18.0,0.59,5.0,Shen2024,HD93190,0.029383777685209667,2.6667332024996186,3.43,False
HD 91837,Shen2024_Galactic,MW,0.014,4.558708570533166,3.96,3.67,,,,4.45,148.26,2.28,9.24,amplitude_umag,O8.5 V,26.4,0.5,5.0,Shen2024,HD91837,0.6483600109809317,2.171023995785723,3.67,False
HD 92607,Shen2024_Galactic,MW,0.014,4.53655844257153,3.84,3.7,,,,2.78,102.12,1.88,7.81,amplitude_umag,O9 IV,24.8,0.62,1.0,Shen2024,HD92607,0.4440447959180762,2.0091108061322127,3.7,False
HD 36512,Shen2024_Galactic,MW,0.014,4.518513939877887,4.02,3.44,,33.0,33.0,0.375,59.705,1.6,2.175,amplitude_umag,O9.7 V,19.0,0.46,2.0,Shen2024,HD36512,-0.42596873227228116,1.77601070267848,3.44,False
BN Gem,Shen2024_Galactic,MW,0.014,4.570542939881897,3.95,3.73,,,,0.9450000000000001,1650.94,1.52,4.655,amplitude_umag,O8 V,29.0,0.5,2.0,Shen2024,BNGEM,-0.024568191490737024,3.217731290014814,3.73,False
HD 69106,Shen2024_Galactic,MW,0.014,4.456366033129043,3.3,3.93,,,,3.5,700.1800000000001,2.46,16.195,amplitude_umag,O9.7 II,29.2,0.86,2.0,Shen2024,HD69106,0.5440680443502757,2.8452097013823283,3.93,False
HD 37737,Shen2024_Galactic,MW,0.014,4.477121254719663,3.5,3.8,,,,0.68,6643.65,1.74,6.71,amplitude_umag,O9.5 II-III (n),24.4,0.81,1.0,Shen2024,HD37737,-0.16749108729376366,3.8224067449303956,3.8,False
HD 39680,Shen2024_Galactic,MW,0.014,4.6180480967120925,3.91,3.95,,,31.0,1.47,450.42,1.55,4.59,amplitude_umag,O6 V,44.4,0.46,3.0,Shen2024,HD39680,0.1673173347481761,2.653617666250029,3.95,False
SS 215,Shen2024_Galactic,MW,0.014,4.691081492122969,4.06,4.08,,,,2.245,866.4000000000001,2.55,32.635,amplitude_umag,O2 Ia,81.2,0.11,2.0,Shen2024,SS215,0.351216345339342,2.937718443617264,4.08,False
{theta}^1^ Ori,Shen2024_Galactic,MW,0.014,4.595496221825574,3.03,3.84,,,56.0,0.53,748.74,1.4100000000000001,0.995,amplitude_umag,O7 V,35.2,0.49,2.0,Shen2024,{THETA}^1^ORI,-0.27572413039921095,2.874331035098442,3.84,False
{theta}^2^ Ori,Shen2024_Galactic,MW,0.014,4.501059262217751,3.9,3.51,,,47.0,0.475,606.28,1.1600000000000001,1.0150000000000001,amplitude_umag,O9.5 IV,19.4,0.6,2.0,Shen2024,{THETA}^2^ORI,-0.3233063903751334,2.7826732419395652,3.51,False
ALS 8294,Shen2024_Galactic,MW,0.014,4.620136054973758,3.97,3.9,,87.0,,1.125,252.05,1.43,10.32,amplitude_umag,O7 V (n)z,36.2,0.41,4.0,Shen2024,ALS8294,0.05115252244738129,2.4014867017741692,3.9,False
HDE 227245,Shen2024_Galactic,MW,0.014,4.57978359661681,3.8,3.91,,71.0,,5.56,109.27,2.32,8.41,amplitude_umag,O7 V ((f))z,35.2,0.59,3.0,Shen2024,HD227245,0.7450747915820575,2.0385009430766745,3.91,False
HDE 344777,Shen2024_Galactic,MW,0.014,4.553883026643875,3.62,3.99,,103.0,,2.59,129.8,1.72,8.01,amplitude_umag,O7.5 V z,35.0,0.67,3.0,Shen2024,HD344777,0.4132997640812518,2.1132746924643504,3.99,False
BD +33 1025,Shen2024_Galactic,MW,0.014,4.5843312243675305,4.01,3.72,,10.0,,0.39,375.775,1.44,12.51,amplitude_umag,O7.5 V (n)z,29.6,0.41,4.0,Shen2024,BD+331025,-0.4089353929735008,2.5749278834728484,3.72,False
HD 326331,Shen2024_Galactic,MW,0.014,4.54282542695918,3.74,3.82,,,,2.48,310.45,1.53,5.49,amplitude_umag,O8 IV n((f)),28.8,0.67,1.0,Shen2024,HD326331,0.3944516808262163,2.491991664182002,3.82,True
HD 102415,Shen2024_Galactic,MW,0.014,4.519827993775719,3.92,3.55,,,,8.35,85.64,2.75,8.79,amplitude_umag,ON9 IV: nn,20.8,0.56,1.0,Shen2024,HD102415,0.921686475483602,1.9326766586224007,3.55,False
HD 201345,Shen2024_Galactic,MW,0.014,4.528916700277655,3.79,3.72,,89.0,70.0,2.69,160.73,1.71,5.79,amplitude_umag,ON9.2 IV,25.0,0.66,1.0,Shen2024,HD201345,0.42975228000240795,2.2060969447065664,3.72,False
HD 209339,Shen2024_Galactic,MW,0.014,4.506505032404872,3.81,3.61,,78.0,67.0,1.9449999999999998,142.96,1.665,2.98,amplitude_umag,O9.7 IV,20.6,0.67,2.0,Shen2024,HD209339,0.28891960566172653,2.155214539497588,3.61,False
CYG OB2-9,Shen2024_Galactic,MW,0.014,4.603144372620182,3.92,3.88,,82.0,82.0,1.7950000000000002,1115.51,2.26,8.535,amplitude_umag,O4.5 I f,36.0,0.5,2.0,Shen2024,CYGOB2-9,0.254064452914338,3.047473467874319,3.88,False
CPD -26 2716,Shen2024_Galactic,MW,0.014,4.556302500767287,3.51,4.11,,138.0,,1.55,2041.75,2.31,12.42,amplitude_umag,O6.5 Iab f,47.8,0.68,1.0,Shen2024,CPD-262716,0.1903316981702915,3.31000256426054,4.11,False
HD 193514,Shen2024_Galactic,MW,0.014,4.555094448578319,3.58,4.03,,84.0,98.0,0.81,2532.9900000000002,1.6,4.33,amplitude_umag,O7 Ib (f),39.4,0.77,2.0,Shen2024,HD193514,-0.09151498112135022,3.403633475241242,4.03,False
HD 69464,Shen2024_Galactic,MW,0.014,4.553883026643875,3.38,4.23,,105.0,105.0,1.29,1969.0349999999999,1.85,8.184999999999999,amplitude_umag,O7 Ib (f),59.2,0.64,4.0,Shen2024,HD69464,0.11058971029924898,3.294253435880003,4.23,False
HD 94963,Shen2024_Galactic,MW,0.014,4.559906625036112,3.54,4.09,,92.0,92.0,3.05,706.76,2.4749999999999996,7.23,amplitude_umag,O7 II (f),40.64,0.67,2.0,Shen2024,HD94963,0.48429983934678583,2.8492719620700746,4.09,False
HD 192639,Shen2024_Galactic,MW,0.014,4.540329474790874,3.43,4.12,,95.0,96.0,0.75,4382.42,1.76,4.09,amplitude_umag,O7.5 Iab f,44.2,0.71,3.0,Shen2024,HD192639,-0.12493873660829995,3.6417139968991656,4.12,False
HD 191423,Shen2024_Galactic,MW,0.014,4.509202522331103,3.71,3.72,,,147.0,5.93,381.45,2.58,5.8,amplitude_umag,ON9 II-III nn,21.2,0.81,3.0,Shen2024,HD191423,0.7730546933642626,2.58143761923139,3.72,False
HD 71304,Shen2024_Galactic,MW,0.014,4.505149978319906,3.3,4.11,,100.0,92.0,1.61,1280.7,2.16,5.58,amplitude_umag,O9 II,45.0,0.77,1.0,Shen2024,HD71304,0.20682587603184974,3.1074474095236093,4.11,False
HD 202124,Shen2024_Galactic,MW,0.014,4.492760389026838,3.22,4.14,,114.0,122.0,0.30000000000000004,8513.49,1.455,5.25,amplitude_umag,O9 Iab,46.6,0.78,2.0,Shen2024,HD202124,-0.5228787452803375,3.9301076302409514,4.14,False
HD 152249,Shen2024_Galactic,MW,0.014,4.492760389026838,3.21,4.15,,70.0,70.0,0.57,1107.3,1.89,2.67,amplitude_umag,OC9 Iab,49.2,0.77,1.0,Shen2024,HD152249,-0.24412514432750865,3.0442652999153195,4.15,True
HD 28446,Shen2024_Galactic,MW,0.014,4.474216264076255,3.65,3.64,,,,3.05,231.365,2.12,2.955,amplitude_umag,O9.7 II n,21.0,0.75,2.0,Shen2024,HD28446,0.48429983934678583,2.364297661199437,3.64,False
HD 75222,Shen2024_Galactic,MW,0.014,4.480006942957151,3.22,4.09,,65.0,113.0,0.76,4666.81,2.0,8.6,amplitude_umag,O9.7 Iab,40.2,0.8,1.0,Shen2024,HD75222,-0.11918640771920865,3.6690201197985317,4.09,False
HD 195592,Shen2024_Galactic,MW,0.014,4.447158031342219,2.91,4.27,,100.0,50.0,0.13,11079.05,1.23,3.96,amplitude_umag,O9.7 Ia,69.4,0.75,1.0,Shen2024,HD195592,-0.8860566476931632,4.0445025223557565,4.27,False
HD 191781,Shen2024_Galactic,MW,0.014,4.457881896733992,3.39,3.83,,48.0,96.0,0.27,10366.15,1.48,8.91,amplitude_umag,ON9.7 Iab,24.2,0.85,3.0,Shen2024,HD191781,-0.5686362358410126,4.015617488865943,3.83,False
HD 97253,Shen2024_Galactic,MW,0.014,4.592176757395867,3.6,4.16,,105.0,105.0,3.42,562.22,2.8,4.8,amplitude_umag,O5 III (f),63.8,0.57,3.0,Shen2024,HD97253,0.534026106056135,2.749906290818102,4.16,True
HDE 338 931,Shen2024_Galactic,MW,0.014,4.580924975675619,3.76,3.95,,9.0,,2.61,783.415,2.08,8.129999999999999,amplitude_umag,O6 III (f),36.4,0.6,2.0,Shen2024,HD338931,0.41664050733828095,2.8939918827018425,3.95,False
HD 190864,Shen2024_Galactic,MW,0.014,4.574031267727719,3.64,4.05,,90.0,82.0,4.58,247.29,2.38,4.34,amplitude_umag,O6.5 III (f),42.6,0.64,3.0,Shen2024,HD190864,0.6608654780038692,2.393206554563365,4.05,False
HD 42088,Shen2024_Galactic,MW,0.014,4.6020599913279625,3.99,3.81,,76.0,67.0,0.265,303.85,1.135,5.470000000000001,amplitude_umag,O6 V ((f))z,34.6,0.4,2.0,Shen2024,HD42088,-0.5767541260631921,2.4826592406833354,3.81,False
BD +60 134,Shen2024_Galactic,MW,0.014,4.60959440922522,3.95,3.88,,,,4.26,187.87,2.06,13.63,amplitude_umag,O5.5 V (n)((f)),35.2,0.5,1.0,Shen2024,BD+60134,0.6294095991027189,2.273857435371118,3.88,False
HDE 303311,Shen2024_Galactic,MW,0.014,4.603144372620182,3.91,3.89,,61.0,61.0,0.17,776.64,1.21,13.31,amplitude_umag,O6 V ((f))z,40.4,0.51,3.0,Shen2024,HD303311,-0.769551078621726,2.8902197546518407,3.89,False
HD 193443,Shen2024_Galactic,MW,0.014,4.518513939877887,3.51,3.95,,140.0,,3.3200000000000003,324.91999999999996,2.2199999999999998,3.62,amplitude_umag,O9 III,33.4,0.76,2.0,Shen2024,HD193443,0.5211380837040364,2.5117764445623068,3.95,False
HD 44811,Shen2024_Galactic,MW,0.014,4.57287160220048,3.9,3.78,,43.0,48.0,1.045,55.31,0.815,6.555,amplitude_umag,O7 V (n)z,29.0,0.54,2.0,Shen2024,HD44811,0.01911629044707278,1.7428036584691655,3.78,False
ALS 12370,Shen2024_Galactic,MW,0.014,4.5910646070264995,4.12,3.63,,,,5.26,228.08999999999997,2.38,14.45,amplitude_umag,O6.5 V nn((f)),25.4,0.25,2.0,Shen2024,ALS12370,0.7209857441537391,2.358106245206416,3.63,False
BD +60 2635,Shen2024_Galactic,MW,0.014,4.599883072073688,3.77,4.02,,73.0,,4.4350000000000005,148.51999999999998,2.045,11.01,amplitude_umag,O6 V ((f)),43.0,0.55,2.0,Shen2024,BD+602635,0.6468936241677452,2.1717849405541214,4.02,False
HD 193682,Shen2024_Galactic,MW,0.014,4.6127838567197355,3.75,4.09,,90.0,,5.245,348.745,2.5549999999999997,5.77,amplitude_umag,O4.5 IV (f),50.0,0.53,2.0,Shen2024,HD193682,0.7197454925295766,2.5425079897928344,4.09,False
HD 36879,Shen2024_Galactic,MW,0.014,4.567026366159061,3.77,3.89,,,54.0,1.44,1022.35,1.79,5.18,amplitude_umag,O7 V (n)((f)),33.8,0.62,3.0,Shen2024,HD36879,0.15836249209524964,3.0095996013238255,3.89,False
HD 117490,Shen2024_Galactic,MW,0.014,4.4996870826184034,3.74,3.65,,,,6.5,84.56,2.66,7.94,amplitude_umag,ON9.5 III nn,21.6,0.71,1.0,Shen2024,HD117490,0.8129133566428556,1.92716497429937,3.65,False
HD 189957,Shen2024_Galactic,MW,0.014,4.506505032404872,3.58,3.84,,54.0,73.0,2.94,365.19,2.11,5.22,amplitude_umag,O9.7 III,26.8,0.77,3.0,Shen2024,HD189957,0.46834733041215726,2.5625188767366316,3.84,False
HD 93521,Shen2024_Galactic,MW,0.014,4.501059262217751,3.78,3.61,,,133.0,6.12,383.56,2.48,3.84,amplitude_umag,O9.5 III nn,20.6,0.68,1.0,Shen2024,HD93521,0.7867514221455612,2.58383330995571,3.61,False
HD 24912,Shen2024_Galactic,MW,0.014,4.555094448578319,3.67,3.94,,,80.0,3.13,434.76,2.47,3.94,amplitude_umag,O7.5 III (n)((f)),34.6,0.68,1.0,Shen2024,HD24912,0.49554433754644844,2.6382495800821615,3.94,False
HD 218195,Shen2024_Galactic,MW,0.014,4.532754378992498,3.53,3.99,,78.0,67.0,3.82,259.46,2.12,5.39,amplitude_umag,O8.5 III Nstr,35.0,0.73,1.0,Shen2024,HD218195,0.5820633629117087,2.4140704137518014,3.99,False
200069370,Bowman2019b_K2,MW,0.014,4.54,,4.09,,58.0,102.0,1.44174,102.338,1.74881,15.671,amplitude_ppm_nominal,O8II((f)),,,,Bowman2019b,200069370,0.15888694779933482,2.0100369252660455,4.09,False
200182931,Bowman2019b_K2,MW,0.014,,,,,,,1.43679,599.419,3.89572,58.676,amplitude_ppm_nominal,B1Iab,,,,Bowman2019b,200182931,0.1573932966618063,2.7777305048164624,,False
202060091,Bowman2019b_K2,MW,0.014,4.518513939877887,3.79,3.6749968521662857,,10.0,37.0,0.47555,33.35,0.85361,8.818,amplitude_ppm_nominal,O9V,,,,Bowman2019b,202060091,-0.32280381398945535,1.523095838252568,3.6749968521662857,False
202060092,Bowman2019b_K2,MW,0.014,,,,,,,4.23188,158.305,3.76009,29.798,amplitude_ppm_nominal,O9V:p,,,,Bowman2019b,202060092,0.6265333442641998,2.199494632096194,,False
202060093,Bowman2019b_K2,MW,0.014,,,,,,,1.30725,1176.985,1.67018,315.73,amplitude_ppm_nominal,O9V:p,,,,Bowman2019b,202060093,0.11635865050169322,3.0707709280441655,,False
202061162,Bowman2019b_K2,MW,0.014,,,,,,,1.62265,56.676,8.11083,11.097,amplitude_ppm_nominal,B8Ib,,,,Bowman2019b,202061162,0.2102248541079595,1.7533991916243248,,False
202061164,Bowman2019b_K2,MW,0.014,,,,,,,2.00673,445.316,2.33617,37.585,amplitude_ppm_nominal,OB,,,,Bowman2019b,202061164,0.30248894329055864,2.648668299413453,,False
202061197,Bowman2019b_K2,MW,0.014,4.44870631990508,3.79,3.3957663722750566,,19.0,31.0,2.50312,19.374,0.85002,8.39,amplitude_ppm_nominal,B1IV,,,,Bowman2019b,202061197,0.3984816702588822,1.2872192954008053,3.3957663722750566,False
202061199,Bowman2019b_K2,MW,0.014,4.4361626470407565,3.73,3.405591680817763,,17.0,29.0,,,,41.439,amplitude_ppm_nominal,B1IVp,,,,Bowman2019b,202061199,,,3.405591680817763,False
202061205,Bowman2019b_K2,MW,0.014,,,,,,,2.04648,67.646,2.09988,14.326,amplitude_ppm_nominal,B2IV,,,,Bowman2019b,202061205,0.31100750469490623,1.830242121269378,,False
202061207,Bowman2019b_K2,MW,0.014,,,,,,,0.83921,16.203,2.93095,14.093,amplitude_ppm_nominal,B3IV,,,,Bowman2019b,202061207,-0.07612934974426054,1.209595432000856,,False
202061208,Bowman2019b_K2,MW,0.014,,,,,,,3.30302,11.237,1.62858,8.393,amplitude_ppm_nominal,B9III,,,,Bowman2019b,202061208,0.518911203380588,1.0506503808639143,,False
202061216,Bowman2019b_K2,MW,0.014,,,,,,,1.30076,30.513,1.16548,8.245,amplitude_ppm_nominal,B2.5III-IV,,,,Bowman2019b,202061216,0.11419717335579291,1.4844849090319407,,False
202061225,Bowman2019b_K2,MW,0.014,,,,,,,1.4345,8.065,1.45453,4.372,amplitude_ppm_nominal,B0III,,,,Bowman2019b,202061225,0.15670055258201723,0.9066043717249803,,False
202061226,Bowman2019b_K2,MW,0.014,,,,,,,8.05896,23.11,4.05824,21.984,amplitude_ppm_nominal,B2.5IV,,,,Bowman2019b,202061226,0.90627900019176,1.3637999454791092,,False
202061236,Bowman2019b_K2,MW,0.014,,,,,,,1.65279,119.893,2.66452,10.484,amplitude_ppm_nominal,B8III,,,,Bowman2019b,202061236,0.2182176765388336,2.0787938273847604,,False
202061239,Bowman2019b_K2,MW,0.014,,,,,,,3.56452,6.929,6.51411,5.546,amplitude_ppm_nominal,B3IV,,,,Bowman2019b,202061239,0.5520010558186172,0.840670561333409,,False
