star,sample,galaxy,Z_proxy,logTeff,logg,logL_spec,logL_class,vsini,vmac,nuchar,alpha0,gamma,Cw,alpha0_kind,SpType,mass,tau,n_sect,ref,key,log_nuchar,log_alpha0,logL_use,dup_B2020_Shen
HD 36960,Bowman2020_Galactic,MW,0.014,4.46,,3.31,,23.0,37.0,1.83618,30.868,2.46009,3.814,amplitude_umag,B0.5 V,,,,prior,HD36960,0.2639152526685912,1.489508491577916,3.31,False
HD 37042,Bowman2020_Galactic,MW,0.014,4.47,,3.06,,33.0,13.0,1.20717,57.494,1.84494,9.116,amplitude_umag,B0.7 V,,,,prior,HD37042,0.08176843402701914,1.7596225246399968,3.06,False
HD 43112,Bowman2020_Galactic,MW,0.014,4.41,,2.95,,7.0,12.0,0.76982,6.269,1.16679,3.77,amplitude_umag,B1 V,,,,prior,HD43112,-0.11361081008111748,0.7971982698389589,2.95,False
HD 35912,Bowman2020_Galactic,MW,0.014,4.26,,2.44,,11.0,21.0,2.08064,241.602,3.01021,5.396,amplitude_umag,B2 V,,,,prior,HD35912,0.3181969434800138,2.3831005250872095,2.44,False
HD 48977,Bowman2020_Galactic,MW,0.014,4.25,,2.61,,26.0,8.0,1.46731,311.431,2.33096,4.565,amplitude_umag,B2.5 V,,,,prior,HD48977,0.16652187735149473,2.493361840277231,2.61,False
HD 34816,Bowman2020_Galactic,MW,0.014,4.46,,3.22,,25.0,,0.66173,61.383,1.34255,1.445,amplitude_umag,B0.5 IV,,,,prior,HD34816,-0.17931917586098825,1.7880481100913557,3.22,False
HD 46328,Bowman2020_Galactic,MW,0.014,4.4,,3.28,,7.0,20.0,1.08885,54.479,1.34896,3.49,amplitude_umag,B0.5 IV,,,,prior,HD46328,0.03696805545897908,1.7362291272001074,3.28,False
HD 50707,Bowman2020_Galactic,MW,0.014,4.38,,3.31,,29.0,46.0,4.27661,132.11,1.75206,2.889,amplitude_umag,B1 IV,,,,prior,HD50707,0.6310996471306316,2.1209356925611313,3.31,False
HD 37481,Bowman2020_Galactic,MW,0.014,4.34,,2.78,,74.0,21.0,1.23368,26.284,3.20558,3.132,amplitude_umag,B1.5 IV,,,,prior,HD37481,0.09120252415696807,1.4196914585184777,2.78,False
HD 37209,Bowman2020_Galactic,MW,0.014,4.38,,2.76,,50.0,15.0,0.826,26.461,2.35097,3.195,amplitude_umag,B2 IV,,,,prior,HD37209,-0.0830199526796178,1.4226062527870638,2.76,False
HD 26912,Bowman2020_Galactic,MW,0.014,4.2,,2.61,,53.0,30.0,1.15152,299.788,3.05793,3.078,amplitude_umag,B3 IV,,,,prior,HD26912,0.06127148534341788,2.476814244796164,2.61,False
HD 37711,Bowman2020_Galactic,MW,0.014,4.21,,2.61,,68.0,51.0,0.86817,916.636,3.34037,9.476,amplitude_umag,B3 IV,,,,prior,HD37711,-0.061395225476774194,2.9621969097430765,2.61,False
HD 57539,Bowman2020_Galactic,MW,0.014,4.13,,2.54,,162.0,13.0,2.60349,154.777,3.06784,5.565,amplitude_umag,B3 IV,,,,prior,HD57539,0.4155559138906588,2.189706424594824,2.54,False
HD 41753,Bowman2020_Galactic,MW,0.014,4.23,,2.61,,25.0,40.0,1.27728,302.331,3.47522,12.424,amplitude_umag,B3 IV,,,,prior,HD41753,0.10628611192697604,2.4804826805509017,2.61,False
HD 224990,Bowman2020_Galactic,MW,0.014,4.13,,2.33,,20.0,40.0,1.57162,23.296,2.09149,2.084,amplitude_umag,B5 IV,,,,prior,HD224990,0.19634754688599573,1.3672813576329432,2.33,False
HD 48434,Bowman2020_Galactic,MW,0.014,4.48,,3.93,,48.0,82.0,1.47146,1647.09,2.00588,8.813,amplitude_umag,B0 III,,,,prior,HD48434,0.16774846078466799,3.2167173304602663,3.93,False
HD 61068,Bowman2020_Galactic,MW,0.014,4.39,,3.08,,12.0,23.0,1.36075,198.12,1.35714,5.256,amplitude_umag,B2 III,,,,prior,HD61068,0.13377834298911134,2.2969283193104184,3.08,False
HD 35468,Bowman2020_Galactic,MW,0.014,4.29,,2.99,,53.0,27.0,0.80155,86.576,1.95155,1.895,amplitude_umag,B2 III,,,,prior,HD35468,-0.09606938154837891,1.9373975165885065,2.99,False
HD 44743,Bowman2020_Galactic,MW,0.014,4.37,,3.2,,24.0,40.0,1.96975,133.771,1.3504,8.802,amplitude_umag,B1 II-III,,,,prior,HD44743,0.2944111091513148,2.1263619736332124,3.2,False
