key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_R,f_rot
HD13022,86.0,111.0,SimonDiaz2017,O9.7 II-III,4.51,3.89,,0.8563136565781536,1.4652487324952028,1.1811782962877786,0.0,31.31809561843866,0.1526979896615957,15.176733087823957,0.1445628006286623
HD13267,57.0,37.0,SimonDiaz2017,B5 Ia,4.15,3.96,,1.0018476578780235,1.3844707955809317,1.8921139920724153,2.0,25.57735671806097,0.056078722483301195,78.0034824424783,0.009375611493531376
HD135485,17.0,19.0,SimonDiaz2017,B3 V,4.25,2.18,,0.19250398134559538,0.7481608039138251,0.48510852596393517,0.0,5.599999999999999,0.17950539849978395,3.055684603657867,0.12290143273707388
HD13745,14.0,196.0,SimonDiaz2017,O9.7 II(n),4.51,3.99,,0.8714202804131984,1.527807748416766,1.2643199672548728,0.0,37.43995916241501,0.18735727163800464,18.37891914898023,0.21078901521168364
HD13841,80.0,48.0,SimonDiaz2017,B2 Ib,4.34,3.85,,1.0011148531793894,1.3306086976485423,1.4336777562087397,2.0,22.35827318620565,0.15104783430269694,27.144244354684947,0.03495226721285605
HD13854,67.0,48.0,SimonDiaz2017,B1 Iab,4.35,4.04,,1.000198631186248,1.457312814425906,1.5730873558349843,2.0,31.21298966903246,0.26346824566597654,37.41858460318659,0.025355124787248398
HD13866,77.0,43.0,SimonDiaz2017,B2 Ib,4.3,3.82,,1.001310573217766,1.31037764615076,1.489522824628958,2.0,21.343585859240836,0.3117020897645373,30.869018755565396,0.0275332514940061
HD14052,64.0,36.0,SimonDiaz2017,B1 Ib,4.35,3.76,,1.0010038322310593,1.2739290911459262,1.338898273551639,2.0,19.579701976586584,0.19502564488716964,21.822187025871898,0.03260739451267604
HD140873,52.0,64.0,SimonDiaz2017,B8 III,4.15,2.19,,0.8021591054304831,0.6651761585692918,0.6468380851565797,0.0,4.62803619245904,0.3516579698868578,4.4344328738318515,0.28526846129515776
HD14134,58.0,39.0,SimonDiaz2017,B3 Ia,4.19,4.01,,1.0007721113277779,1.425269960811458,1.861484164624294,2.0,28.58481925382087,0.08539954768918627,72.69158937054745,0.010604551685835571
HD14143,69.0,42.0,SimonDiaz2017,B2 Ia,4.26,3.97,,1.0009560805787645,1.4059210489791838,1.6925535869882027,2.0,27.106493095949617,0.2860615527639227,49.26671291067973,0.016850297547434914
HD142096,10.0,137.0,SimonDiaz2017,B2.5 V,4.23,2.41,,0.722236968404233,0.7697133277237279,0.6578754690105445,0.0,5.887265577548533,0.19660548929882127,4.548576141208981,0.5953289043810781
HD142669,40.0,113.0,SimonDiaz2017,B2 IV-V,4.27,2.72,,0.8333330845613205,0.8702254980597519,0.7776914112603592,0.0,7.420092599314005,0.110667652736867,5.99365044984176,0.37264809290151696
HD142763,15.0,91.0,SimonDiaz2017,B8 III,4.12,2.59,,1.0008050684605911,0.7479017624472093,0.9508471712414942,2.0,5.600774920883077,0.07960682141008796,8.929911837472575,0.20142162335784705
HD142990,28.0,120.0,SimonDiaz2017,B5 V,4.18,2.73,,1.0004148998872546,0.8113524392733791,0.9336950837717807,2.0,6.481654624176644,0.212042355705402,8.584106235952374,0.2763109099239692
HD14302,53.0,65.0,SimonDiaz2017,B1 II-III,4.36,3.57,,0.9988066688158813,1.1902452775769075,1.1798287328884416,1.7001545846378554,16.0,0.11557411799087697,15.129644824918149,0.08491736207580101
HD14322,46.0,34.0,SimonDiaz2017,B8 Ib,4.07,4.01,,1.0013892410232925,1.4223609330269134,2.107578888246852,2.0,28.375163486108075,0.17990150532482072,128.10877790276732,0.00524580206291356
HD14331,73.0,58.0,SimonDiaz2017,B0 III,4.48,3.83,,0.8879398899850752,1.4083982588936461,1.1800544022253794,0.0,26.99755716854682,0.2480409765986572,15.137508577015097,0.07573305253999277
HD14357,59.0,143.0,SimonDiaz2017,B2 II,4.32,3.78,,1.0011956889692315,1.2793145595282385,1.4088676469431158,2.0,19.837067139379364,0.046959573292155055,25.63702618375101,0.1102504222068593
HD144206,12.0,18.0,SimonDiaz2017,B9 III,4.06,2.05,,0.9430350834788525,0.6018145348589068,0.7316165557058293,0.0,4.0,0.0885695156799155,5.390344917324085,0.06600362986003926
HD144217,59.0,96.0,SimonDiaz2017,B0.5 V,4.47,3.06,,0.08651921377971758,1.1459634542053667,0.6867355078599936,0.0,14.0,0.08961590083281713,4.861110662725706,0.39034407887518685
HD144218,36.0,59.0,SimonDiaz2017,B2 IV-V,4.26,2.44,,0.6094850306305746,0.7967056547732675,0.6211315469613601,0.0,6.264069258818111,0.17317138200100052,4.179569458285365,0.27901807328912215
