star,source,SpType,logTeff,logLspec,logg,vmac,vsini,tau,logM,logR
HD175426,SimonDiaz2017,B2.5 V,4.24,2.63,,58.0,77.0,0.8599725067904838,0.8323266576774202,0.7756083721811339
HD175754,SimonDiaz2017,O8 II(n)((f))p,4.48,4.42,,97.0,193.0,1.0724814189503866,0.8283319688778726,1.186210561304534
HD17603,SimonDiaz2017,O7.5 Ib(f),4.53,4.21,,115.0,109.0,0.8746258110881661,1.6820417784907056,1.4106754439061973
HD176162,SimonDiaz2017,B5 IV,4.15,2.39,,24.0,18.0,0.999435773972326,0.6854212931029111,0.7649918846404319
HD176502,SimonDiaz2017,B4 IV,4.26,2.64,,18.0,13.0,0.8089121311386568,0.8449373576289804,0.7455315225792634
HD176853,SimonDiaz2017,B2 V,4.22,2.5,,45.0,153.0,0.8264695982387433,0.7849681303165812,0.7260942124763418
HD177003,SimonDiaz2017,B2.5 IV,4.26,2.51,,18.0,17.0,0.7018329839528019,0.8136389866637722,0.6702297562501411
HD17743,SimonDiaz2017,B8 III,4.13,2.21,,22.0,48.0,0.8695165023975594,0.6625555438043853,0.6946437714083457
HD178065,SimonDiaz2017,B9 II,4.08,2.29,,4.0,17.0,0.9987396352571064,0.6451138045164033,0.8245970299524878
HD178125,SimonDiaz2017,B8 III,4.13,1.93,,64.0,70.0,0.6359257591295686,0.6019388757352081,0.5295888307667294
HD178849,SimonDiaz2017,B3 V,4.22,2.55,,22.0,40.0,0.8596757965590496,0.7948630799229928,0.7541086037376791
HD179406,SimonDiaz2017,B3 V,4.19,2.94,,38.0,192.0,1.00087214526271,0.8909844126435009,1.0610155443326446
HD179761,SimonDiaz2017,B8 II-III,4.07,2.36,,21.0,19.0,1.0008240678776428,0.6653692674895063,0.8983891083780835
HD180163,SimonDiaz2017,B2.5 IV,4.22,3.15,,34.0,21.0,1.0009874272384045,0.981367371475398,1.1491084695935032
HD182255,SimonDiaz2017,B6 III,4.12,2.01,,25.0,30.0,0.7484982216049293,0.6019036931987869,0.5815190954203024
HD183143,SimonDiaz2017,B7 Ia,4.16,4.22,,55.0,37.0,1.0002356956045142,1.6015185857582048,2.113432612043176
HD183227,SimonDiaz2017,B7 III,4.11,2.6,,35.0,53.0,1.0010467684434827,0.7505556380429719,0.978588545555829
HD18409,SimonDiaz2017,O9.7 Ib,4.51,3.99,,88.0,131.0,0.8714202804131984,1.527807748416766,1.2643199672548728
HD184930,SimonDiaz2017,B5 III,4.13,2.34,,32.0,63.0,0.9901694113323658,0.6788887267431606,0.7732454088638263
HD185418,SimonDiaz2017,B0.5 V,4.39,3.13,,10.0,132.0,0.7493399121966109,1.0760155146696613,0.8483880625223299
HD185423,SimonDiaz2017,B3 III,4.22,3.26,,32.0,154.0,1.0010958935704146,1.0329521739636995,1.2351553438557932
HD18604,SimonDiaz2017,B6 III,4.11,2.44,,50.0,131.0,1.0003438770464457,0.6981136423878993,0.8725569383069239
HD186568,SimonDiaz2017,B5 III,4.08,2.29,,22.0,20.0,0.9987396352571064,0.6451138045164033,0.8245970299524878
HD186980,SimonDiaz2017,O7.5 III((f)),4.56,4.11,,78.0,51.0,0.8103645562809783,1.6519997695174504,1.2838105647940077
HD187459,SimonDiaz2017,B0.5 II,4.42,3.93,,76.0,150.0,0.9981089092126024,1.3967182509498255,1.3400918765150085
HD187879,SimonDiaz2017,B1 III,4.3,3.58,,66.0,100.0,1.0010303031661978,1.1629211481060833,1.2866148252360772
HD188001,SimonDiaz2017,O7.5 Iabf,4.52,4.19,,91.0,82.0,0.8821929420882025,1.6682673557797334,1.4138790337614364
HD188209,SimonDiaz2017,O9.5 Iab,4.52,4.09,,76.0,52.0,0.8711831818175897,1.6086507730440731,1.3319052821330448
HD188252,SimonDiaz2017,B2 III,4.32,3.26,,46.0,94.0,0.9809466874782248,1.0646945638649437,1.0374115630579548
HD188665,SimonDiaz2017,B5 V,4.13,2.25,,20.0,107.0,0.9042935813282068,0.6795038691171359,0.7319539751060952
HD189775,SimonDiaz2017,B5 III,4.12,2.67,,16.0,61.0,1.0011113418406752,0.7761825772784503,1.0045027406074138
HD189957,SimonDiaz2017,O9.7 III,4.49,3.86,,73.0,90.0,0.8817205672421063,1.4342471379078303,1.1917879174072217
HD190603,SimonDiaz2017,B1.5 Ia +,4.33,4.08,,67.0,47.0,1.0002636053117475,1.4779815957880065,1.639233294763938
HD190864,SimonDiaz2017,O6.5 III(f),4.58,4.11,,82.0,55.0,0.7740027595443737,1.6668056064739702,1.2506463447619245
HD190919,SimonDiaz2017,B0.7 Ib,4.39,4.12,,77.0,48.0,0.9997310036013038,1.5239310404768225,1.5658184324323552
HD191139,SimonDiaz2017,B0.5 III,4.42,3.94,,59.0,41.0,0.9991921989189388,1.3970603190986646,1.3457254757521837
HD191243,SimonDiaz2017,B5 Ib,4.16,3.58,,40.0,27.0,1.0019322799828867,1.1861800180190478,1.5995598789614969
HD191746,SimonDiaz2017,B2 IV,4.25,3.1,,20.0,78.0,1.0006305999125216,0.9644695010605469,1.0557417999961125
HD191877,SimonDiaz2017,B1 Ib,4.33,3.82,,95.0,171.0,1.0011601548224731,1.3145443839350448,1.4347723692023302
HD191978,SimonDiaz2017,O8 Vz,4.55,3.87,,81.0,62.0,0.7498365575244285,1.491339291390268,1.1043704781260508
HD192001,SimonDiaz2017,O9.5 IV,4.52,3.56,,69.0,41.0,0.5847788764404668,1.3357776630601188,0.9291073867684896
HD192276,SimonDiaz2017,B8 III,4.11,2.01,,24.0,19.0,0.7887732471125957,0.6018887780237907,0.6045658408146268
HD192422,SimonDiaz2017,B0.5 Ib,4.45,4.23,,87.0,49.0,0.9748655259758896,1.6370638589890625,1.5618545640401518
HD192639,SimonDiaz2017,O7.5 Iabf,4.54,4.21,,96.0,104.0,0.8639067254797148,1.6870882388675852,1.392738601647802
HD193183,SimonDiaz2017,B1.5 Ib,4.31,3.93,,64.0,51.0,1.0012595222013605,1.381460393674394,1.5590905548476668
HD193514,SimonDiaz2017,O7 Ib(f),4.54,4.16,,98.0,62.0,0.8526361381167205,1.6657963681973782,1.356037358663997
HD194279,SimonDiaz2017,B1.5 Ia,4.25,4.29,,59.0,50.0,1.0286638296465636,1.3794977895942948,1.861322884458904
HD194280,SimonDiaz2017,OC9.7 Iab,4.44,3.99,,56.0,120.0,0.987653126879638,1.4701490713481102,1.3738549070035235
HD194839,SimonDiaz2017,B0.5 Iae,4.39,4.29,,91.0,67.0,1.0028255122321492,1.5688307613481065,1.6701529413001006
HD195556,SimonDiaz2017,B2.5 IV,4.23,3.19,,11.0,158.0,1.000969049029378,0.9978993365757431,1.1552533319169809
HD195810,SimonDiaz2017,B6 III,4.13,2.42,,35.0,49.0,0.9944884122727417,0.7091810756326922,0.8269860396715484
HD195986,SimonDiaz2017,B4 III,4.19,2.73,,18.0,35.0,0.998373456129897,0.8161445291493004,0.9114032446535584
HD196025,SimonDiaz2017,B2 IV-V,4.28,2.71,,16.0,38.0,0.7979290975056088,0.8760947995969297,0.757106927776552
HD197226,SimonDiaz2017,B6 III,4.13,2.23,,39.0,95.0,0.8879516238470158,0.6737844994833851,0.7164171944384197
HD197392,SimonDiaz2017,B8 II-III,4.14,2.72,,28.0,28.0,1.0009680694340468,0.7986795443525707,1.0049782022383285
HD197511,SimonDiaz2017,B2 V,4.22,2.71,,45.0,36.0,0.9838986609881708,0.823364284555558,0.8502243200438822
HD197512,SimonDiaz2017,B1 V,4.35,2.9,,20.0,13.0,0.7144115939013757,0.9777267625590724,0.7684375213781677
HD198183,SimonDiaz2017,B5 V,4.17,2.6,,53.0,150.0,0.9969198163844304,0.7723096803086436,0.8626711241554429
HD19820,SimonDiaz2017,O8.5 III(n)((f)),4.51,3.91,,54.0,144.0,0.8610419047457065,1.4801744126995684,1.1985066947181189
HD198478,SimonDiaz2017,B2.5 Ia,4.2,4.11,,54.0,38.0,1.0005493399262428,1.4979127776347194,1.9278868772299285
HD198820,SimonDiaz2017,B3 III,4.17,2.6,,31.0,34.0,0.9969198163844304,0.7723096803086436,0.8626711241554429
HD199140,SimonDiaz2017,B2 III,4.36,3.59,,37.0,21.0,1.0006182367451366,1.1945081039893215,1.1966234994204137
HD199216,SimonDiaz2017,B1 II,4.38,3.93,,60.0,36.0,1.0009044989132534,1.3861521129393952,1.41870582760953
HD199478,SimonDiaz2017,B8 Ia,4.09,3.97,,46.0,43.0,1.0020965594904734,1.3841808299080125,2.015828915644675
HD199578,SimonDiaz2017,B7 III,4.15,2.39,,29.0,25.0,0.999435773972326,0.6854212931029111,0.7649918846404319
HD199579,SimonDiaz2017,O6.5 V((f))z,4.6,3.83,,70.0,66.0,0.4972362978610299,1.5406011930933503,1.0071601392407852
HD200340,SimonDiaz2017,B8 III,4.14,2.62,,45.0,116.0,1.000602967211795,0.7650732114350887,0.9412687583659224
HD201345,SimonDiaz2017,ON9.2 IV,4.52,3.79,,70.0,93.0,0.7858589025348415,1.424205338531323,1.0909873275508015
HD201795,SimonDiaz2017,B1 V,4.43,2.81,,10.0,8.0,0.0027151687327784,1.04136180616357,0.6036643980439274
HD201912,SimonDiaz2017,B5 III,4.21,2.71,,13.0,19.0,0.9936210273376124,0.8228635963561222,0.8701045342211012
HD202124,SimonDiaz2017,O9 Iab,4.51,4.19,,122.0,84.0,0.8939254860764425,1.6646841316326224,1.4331070318558536
HD202214,SimonDiaz2017,O9.5 IV,4.49,3.36,,25.0,21.0,0.4997879707895812,1.2369360319491212,0.840019292257627
HD202753,SimonDiaz2017,B7 III,4.11,2.12,,24.0,38.0,0.8749944644963454,0.639096945289527,0.6866557406900353
HD202850,SimonDiaz2017,B9 Iab,4.07,3.75,,37.0,40.0,1.0023858488223076,1.2463613631427752,1.8821011512052712
HD20365,SimonDiaz2017,B3 V,4.2,2.59,,19.0,128.0,0.9703596691389008,0.7816222610069896,0.816888932427884
HD204172,SimonDiaz2017,B0 Ib,4.46,4.05,,85.0,52.0,0.9809433312008964,1.497827004587816,1.3775121744806738
HD204536,SimonDiaz2017,B3 III,4.18,2.76,,16.0,74.0,1.0005170432348829,0.8217341236134538,0.9555457969649476
HD205021,SimonDiaz2017,B1 III,4.44,3.14,,23.0,32.0,0.5078861590931402,1.1132476634974435,0.7710178313295445
HD205139,SimonDiaz2017,B1 Ib,4.41,3.91,,63.0,35.0,1.0007068304304183,1.3779493347844258,1.3461550704885688
HD206165,SimonDiaz2017,B2 Ib,4.28,4.03,,59.0,39.0,1.0004366878378188,1.4425476779881428,1.6969213790337627
HD206183,SimonDiaz2017,O9.5 IV-V,4.52,3.36,,27.0,15.0,0.2819124691788294,1.277140350468017,0.803664593684561
HD207198,SimonDiaz2017,O8.5 II((f)),4.52,4.15,,83.0,71.0,0.8771337162520881,1.646839401290764,1.3798207961297837
HD207330,SimonDiaz2017,B2.5 III,4.23,3.24,,47.0,37.0,1.0010076176042828,1.0230333548782855,1.196732737065471
HD207538,SimonDiaz2017,O9.7 IV,4.51,3.51,,42.0,37.0,0.5720739911992433,1.296312097575737,0.9013461530191108
HD207840,SimonDiaz2017,B8 III,4.11,2.09,,21.0,19.0,0.8479573022945053,0.6230537569278841,0.6561327016456259
HD208218,SimonDiaz2017,B1 III,4.33,3.42,,39.0,21.0,0.9993795962791882,1.1149501566010056,1.1265660750148034
HD208266,SimonDiaz2017,B1 V,4.33,3.2,,2.0,135.0,0.9986503114427684,1.0308241884683047,0.991878801812162
HD2083,SimonDiaz2017,B0.2 V,4.47,3.28,,34.0,26.0,0.5021001106318589,1.202416288168251,0.82099497221529
HD208440,SimonDiaz2017,B1 V,4.31,3.12,,21.0,95.0,0.9985008654672214,0.9910468934267028,0.9618825924893092
HD208501,SimonDiaz2017,B8 Ib,4.13,3.97,,52.0,34.0,1.0017937240950296,1.391900608567133,1.943703443198032
HD208947,SimonDiaz2017,B2 V,4.27,2.71,,66.0,148.0,0.8274550925875173,0.8690642193310865,0.7728743657259073
HD209008,SimonDiaz2017,B3 III,4.16,2.59,,22.0,19.0,0.9943067325786769,0.7686018388072096,0.8736533974940609
HD209339,SimonDiaz2017,O9.7 IV,4.51,3.61,,67.0,102.0,0.6960786831900174,1.3338674032087667,0.9801962119422036
HD209419,SimonDiaz2017,B5 III,4.15,2.36,,21.0,16.0,0.9303544060046116,0.708384249529395,0.7614750174203044
HD209975,SimonDiaz2017,O9 Ib,4.52,4.09,,92.0,52.0,0.8711831818175897,1.6086507730440731,1.3319052821330448
HD210191,SimonDiaz2017,B2.5 IV,4.28,3.21,,25.0,12.0,1.0006370062779484,1.0193790337419355,1.081886363412007
HD210424,SimonDiaz2017,B7 III,4.11,2.16,,20.0,19.0,0.8887471209719914,0.6432395058544982,0.7009765939484396
HD21071,SimonDiaz2017,B7 V,4.14,2.22,,18.0,67.0,0.8610043517766458,0.6774791758261487,0.6954210293611229
HD210809,SimonDiaz2017,O9 Iab,4.52,4.09,,112.0,65.0,0.8711831818175897,1.6086507730440731,1.3319052821330448
HD212222,SimonDiaz2017,B5 V,4.13,2.21,,25.0,34.0,0.8695165023975594,0.6625555438043853,0.6946437714083457
HD212593,SimonDiaz2017,B9 Iab,4.09,3.77,,33.0,25.0,1.0023947824870365,1.2612353800837677,1.8621719100298733
HD21278,SimonDiaz2017,B4 V,4.19,2.52,,30.0,50.0,0.9149274772864991,0.7755460092573491,0.7922767792791827
HD212883,SimonDiaz2017,B2 V,4.29,2.8,,12.0,9.0,0.8299932430892852,0.9029191041403092,0.7937056983488378
HD21291,SimonDiaz2017,B9 Ia,4.05,4.09,,29.0,41.0,1.0026930605715414,1.4716425524270769,2.2088523917500793
HD212978,SimonDiaz2017,B1.5 V,4.25,3.07,,32.0,125.0,0.999949824297932,0.9544422195996444,1.0338453427808518
HD212986,SimonDiaz2017,B7 III,4.16,2.27,,22.0,27.0,0.8388770026928921,0.6987857779231385,0.6898844395289695
HD213087,SimonDiaz2017,B0.5 Ib,4.44,4.0,,91.0,56.0,0.9906224019210256,1.4709887879304853,1.37955613033698
HD213420,SimonDiaz2017,B2 IV,4.3,3.38,,33.0,56.0,1.0007556863622475,1.092254956125576,1.1630948241237993
HD214263,SimonDiaz2017,B2 V,4.31,2.82,,5.0,83.0,0.7723360516182768,0.9029427700633692,0.7565739000089445
HD214432,SimonDiaz2017,B3 V,4.25,2.46,,83.0,136.0,0.6934538468841219,0.7933691552061736,0.6540426186850964
HD214680,SimonDiaz2017,O9 V,4.55,3.67,,41.0,16.0,0.567912972445372,1.4053403405714944,0.959191273980727
HD21483,SimonDiaz2017,B3 III,4.23,3.06,,45.0,129.0,1.000738648176973,0.9532359551831968,1.0793613961741917
HD216411,SimonDiaz2017,B0.7 Ia,4.33,4.44,,72.0,52.0,1.074013499507722,0.7948434399115679,1.4805725442846114
