star,sample,tier,logTeff,logLspec,alpha0,a0flag,nuchar,gamma,vsini,tau,logM,logR,frot,rotflag
HD 93222,Shen2024_Galactic,A,4.565847818673518,4.02,280.885,1,2.465,1.82,90.0,0.7774846929089466,1.5954859973864035,1.2009846788025718,0.1119875391435274,0
HD 93250,Shen2024_Galactic,A,4.653212513775344,4.14,202.025,1,4.904999999999999,2.45,84.0,0.6004462174805566,1.7879441712553863,1.1840925501622377,0.108667232481243,0
HD 97848,Shen2024_Galactic,A,4.551449997972875,3.93,272.05,1,1.69,1.49,77.0,0.7711934296816436,1.5262907172462328,1.1507241026022494,0.1075668605144731,0
HD 99546,Shen2024_Galactic,A,4.568201724066995,3.95,186.45,1,2.3,1.55,60.0,0.7344355278100307,1.5528398389639353,1.1381795087285609,0.0862747307138491,0
HDE 242926,Shen2024_Galactic,A,4.5910646070264995,3.68,240.99,1,0.28,1.08,52.0,0.3225987743717403,1.4698238283250074,0.9175818953539724,0.1242605635894425,1
HDE 303308,Shen2024_Galactic,A,4.613841821876069,3.95,323.82,1,0.71,1.35,67.0,0.5735031909245134,1.6241318613716462,1.0830556465986652,0.1093782641733467,0
HD 192281,Shen2024_Galactic,A,4.61066016308988,4.01,341.1,1,5.18,2.45,,0.6351690010768694,1.6465677658786848,1.1316516674870518,,0
HD 206183,Shen2024_Galactic,A,4.528916700277655,3.47,63.349999999999994,1,0.44,1.64,29.0,0.3774817585258284,1.3386966323959633,0.8619742701371059,0.0787654209779662,0
HD 210809,Shen2024_Galactic,A,4.489958479424835,4.23,5514.71,1,0.435,1.58,105.0,0.9164159597007092,1.6714503244648051,1.4930144336080715,0.0666939955519733,0
HD 207538,Shen2024_Galactic,A,4.505149978319906,3.61,298.135,1,0.405,1.32,50.0,0.7090375108203548,1.3336285259180771,0.9871173497128406,0.1018039257158317,0
BD +60 2522,Shen2024_Galactic,A,4.558708570533166,4.07,2047.295,1,1.39,1.98,,0.8023633784918376,1.6240502371043444,1.2527384572957967,,0
HD 225160,Shen2024_Galactic,A,4.521138083704036,4.12,3203.0150000000003,1,0.8699999999999999,1.845,103.0,0.872121832017474,1.6294892620420989,1.355889614212271,0.0897138472672287,0
BD +60 261,Shen2024_Galactic,A,4.544068044350276,4.07,641.62,1,1.53,2.04,92.0,0.8321525425812557,1.6122965666324975,1.2781136579609635,0.0958486587839365,0
HD 13022,Shen2024_Galactic,A,4.477121254719663,4.06,1134.29,1,1.83,2.04,131.0,0.974443961120918,1.515243683724728,1.3557661373247354,0.114134523255415,0
HD 12993,Shen2024_Galactic,A,4.593286067020458,3.87,147.66,1,3.46,1.71,79.0,0.5771910352087971,1.5447164960076942,1.041850650337719,0.1418039445378523,0
HD 13268,Shen2024_Galactic,A,4.534026106056135,3.92,363.98,1,4.53,2.44,,0.8125479132237957,1.504267171898487,1.169020973064174,,0
HD 14442,Shen2024_Galactic,A,4.592176757395867,4.14,608.57,1,4.08,2.6,,0.7572997332170248,1.6915397781196535,1.25320948153246,,0
BD +62 424,Shen2024_Galactic,A,4.587710965018911,3.94,1827.21,1,2.525,1.89,65.0,0.6688640714579307,1.5633753571138145,1.0997945282466544,0.1021011653843269,0
HD 13745,Shen2024_Galactic,A,4.477121254719663,4.01,1694.79,1,1.34,2.01,57.0,0.9694348327207296,1.4867367223407169,1.3172550335591275,0.0542664851147333,0
BD +60 498,Shen2024_Galactic,A,4.515873843711679,3.46,168.7,1,0.26,1.38,40.0,0.4818071115862006,1.2973028480398416,0.8691625691343569,0.1068585539760258,1
BD +60 499,Shen2024_Galactic,A,4.534026106056135,3.66,64.41,1,0.53,1.56,38.0,0.6439802487766773,1.381749532851665,0.9797829577393894,0.0786887252144134,0
BD +60 501,Shen2024_Galactic,A,4.578639209968072,3.81,463.81,1,2.38,2.1,87.0,0.5874083344024257,1.4996224873790662,1.0191184985111246,0.1645555842721514,0
HD 14947,Shen2024_Galactic,A,4.592176757395867,4.11,2574.9,1,1.0,1.82,22.0,0.7495337676118569,1.6809114876377664,1.235672874504196,0.0252732839680152,0
HD 15642,Shen2024_Galactic,A,4.47567118832443,3.77,594.69,1,3.13,2.14,,0.8770338339967164,1.3763692539813044,1.1449420834036472,,0
HD 18409,Shen2024_Galactic,A,4.477121254719663,4.15,3571.3450000000003,1,0.8,1.7,102.0,0.973941491938346,1.5842908580634631,1.4355379225063112,0.0739561202657694,0
HD 16832,Shen2024_Galactic,A,4.505149978319906,4.04,322.28,1,3.57,2.37,70.0,0.9216242836105808,1.521818657178356,1.290685842669865,0.0708474246702629,0
HD 24431,Shen2024_Galactic,A,4.54282542695918,3.79,211.67,1,4.19,2.35,81.0,0.7203856749229904,1.445561160298221,1.05668631530366,0.1405110807956085,0
BD +39 1328,Shen2024_Galactic,A,4.515873843711679,4.03,5915.69,1,0.36,1.47,37.0,0.8703504534789837,1.5498689395594152,1.2789755188966836,0.038471407536002,0
HD 36483,Shen2024_Galactic,A,4.523746466811565,3.62,169.54,1,2.56,1.86,74.0,0.653415597283349,1.3657406130961365,0.9760650377621214,0.1545533961708687,0
HDE 344783,Shen2024_Galactic,A,4.471291711058939,3.67,187.635,1,0.255,1.15,,0.8420578257543307,1.3310134626187895,1.0822347113954802,,0
Cyg X-1,Shen2024_Galactic,A,4.442479769064448,4.09,5491.73,1,0.35,1.53,,0.9965246285073164,1.5247120631503708,1.4458181979675095,,0
HD 191612,Shen2024_Galactic,A,4.556302500767287,3.89,247.73,1,2.47,2.0,45.0,0.7368467925132471,1.5078565888047206,1.1076877020555815,0.0694123395330474,0
BD +36 4063,Shen2024_Galactic,A,4.44870631990508,4.04,10709.19,1,0.18,1.27,,0.9762000309358274,1.5017585597829937,1.4006006456978493,,0
HD 229232,Shen2024_Galactic,A,4.632457292184724,4.11,239.51,1,6.225,2.535,,0.6451764338830697,1.725743393116017,1.1782659647343603,,0
HDE 229196,Shen2024_Galactic,A,4.583198773968623,4.18,440.54,1,2.71,2.02,,0.7964286017759467,1.7032770682027862,1.2996133398879115,,0
Cyg OB2-5,Shen2024_Galactic,A,4.552668216112194,4.14,5858.33,1,0.25,1.35,,0.8302390890647079,1.6626814531413576,1.3178747929462653,,0
Cyg OB2-24,Shen2024_Galactic,A,4.570542939881897,3.73,359.51,1,3.05,2.76,,0.5339974537503446,1.459180572344172,0.9746125596213968,,0
CYG OB2-11,Shen2024_Galactic,A,4.571708831808688,4.05,1504.3,1,1.56,2.35,85.0,0.7682673548294803,1.6229195950924238,1.214776039902505,0.1024600955569678,0
HD 203064,Shen2024_Galactic,A,4.547774705387822,3.89,544.625,1,2.43,2.0700000000000003,,0.7645826628804622,1.4972435512015037,1.1199820076748908,,0
HD 108,Shen2024_Galactic,A,4.544068044350276,4.04,373.14,1,1.12,1.63,45.0,0.8281732074188082,1.5889223498836091,1.2516056813660026,0.0498331916494386,0
BD +60 586,Shen2024_Galactic,A,4.5843312243675305,3.63,344.83000000000004,1,0.24,1.335,77.0,0.2846442554965043,1.4418256737765267,0.8937476680882173,0.1943814994129531,1
HD 15137,Shen2024_Galactic,A,4.472756449317212,3.48,989.99,1,2.37,2.17,,0.7178859976307631,1.25076987087475,0.9428996747921906,,0
HD 16691,Shen2024_Galactic,A,4.598790506763115,4.05,1265.77,1,2.34,2.38,88.0,0.6957335841453604,1.655183107452668,1.1768919568478204,0.1157450924270445,0
HD 17603,Shen2024_Galactic,A,4.52244423350632,4.22,2986.24,1,0.88,1.9,108.0,0.8861420490408174,1.682588426714879,1.4319080635044923,0.0789637132514871,0
HD 14633,Shen2024_Galactic,A,4.544068044350276,3.78,189.27,1,4.19,2.07,69.0,0.7080279935320594,1.439396879731672,1.045882649604306,0.1227095354284298,0
HD 237211,Shen2024_Galactic,A,4.487138375477186,4.25,3358.48,1,0.67,1.7,82.0,0.9271746554985288,1.6791490136502487,1.5164680053911082,0.049346654855624,0
HDE 305524,Shen2024_Galactic,A,4.606381365110605,3.89,304.73,1,2.3949999999999996,1.835,,0.5370341403878756,1.5722346065667938,1.039665054562449,,0
HDE 305438,Shen2024_Galactic,A,4.570542939881897,3.73,260.39,1,0.215,1.445,,0.5339974537503446,1.459180572344172,0.9746125596213968,,0
HD 93190,Shen2024_Galactic,A,4.488550716500444,3.43,464.23,1,1.07,1.9,,0.5984892229623022,1.2548769317347397,0.8874174950814748,,0
HD 91837,Shen2024_Galactic,A,4.558708570533166,3.67,148.26,1,4.45,2.28,,0.5279297394932584,1.4171394471167316,0.9499133567668924,,0
HD 92607,Shen2024_Galactic,A,4.53655844257153,3.7,102.12,1,2.78,1.88,,0.6811590367993974,1.4013156834320617,1.0086332770100486,,0
HD 36512,Shen2024_Galactic,A,4.518513939877887,3.44,59.705,1,0.375,1.6,33.0,0.4339094473212352,1.2977792923116638,0.854644135873738,0.0911552475396336,0
BN Gem,Shen2024_Galactic,A,4.570542939881897,3.73,1650.94,1,0.945,1.52,,0.5339974537503446,1.459180572344172,0.9746125596213968,,0
HD 69106,Shen2024_Galactic,A,4.456366033129043,3.93,700.1800000000001,1,3.5,2.46,,0.9842689073974528,1.4256352773185792,1.2886056392571863,,0
HD 37737,Shen2024_Galactic,A,4.477121254719663,3.8,6643.65,1,0.68,1.74,,0.8872092846030661,1.394608896889732,1.166566207945556,,0
HD 39680,Shen2024_Galactic,A,4.6180480967120925,3.95,450.42,1,1.47,1.55,,0.5515775122834093,1.6258569788256778,1.073987095589146,,0
SS 215,Shen2024_Galactic,A,4.691081492122969,4.08,866.4000000000001,1,2.245,2.55,,0.2716736336133591,1.8636742018418793,1.113321721760142,,0
{theta}^1^ Ori,Shen2024_Galactic,A,4.595496221825574,3.84,748.74,1,0.53,1.41,,0.5373754982331203,1.539101940721071,1.0214329979401489,,0
{theta}^2^ Ori,Shen2024_Galactic,A,4.501059262217751,3.51,606.28,1,0.475,1.16,,0.6292065597841212,1.2941434501776643,0.9238426521394612,,0
ALS 8294,Shen2024_Galactic,A,4.620136054973758,3.9,252.05,1,1.125,1.43,87.0,0.4857828674148082,1.6084504497085788,1.0388906898065018,0.1572318171218323,0
HDE 227245,Shen2024_Galactic,A,4.57978359661681,3.91,109.27,1,5.56,2.32,71.0,0.6767599223581902,1.5449927643272372,1.094127006745788,0.1129908336092081,0
HDE 344777,Shen2024_Galactic,A,4.553883026643875,3.99,129.8,1,2.59,1.72,103.0,0.7872040046203077,1.5533777084890508,1.1831340662437635,0.1335411245860451,0
