# subgrid mass class termination_code min_timestep_limit model_number Xc star_age
LMC/w0.0 M6.0 done done None 2476 0.0 71916923.55993459
LMC/w0.0 M6.5 done done None 2575 0.0 60679461.02181909
LMC/w0.0 M7.0 done done None 2673 0.0 52116797.96584851
LMC/w0.0 M7.5 done done None 2762 0.0 45456324.58083093
LMC/w0.0 M8.0 done done None 2437 0.0 39992180.28839459
LMC/w0.0 M9.0 done done None 2544 0.0 32019539.510377124
LMC/w0.0 M10 done done None 2797 0.0 26584967.129608914
LMC/w0.0 M11 done done None 2354 0.0 22702230.723229457
LMC/w0.0 M12 done done None 2423 0.0 19890922.747682367
LMC/w0.0 M13 done done None 2531 0.0 17581978.889393967
LMC/w0.0 M14 done done None 2523 0.0 15803786.267925428
LMC/w0.0 M15 done done None 2189 0.0 14361660.763018982
LMC/w0.0 M16 done done None 2331 0.0 13182993.8438093
LMC/w0.0 M17 done done None 2490 0.0 12173077.059366362
LMC/w0.0 M18 done done None 2860 0.0 11363712.220488334
LMC/w0.0 M19 done done None 2867 0.0 10661309.725239584
LMC/w0.0 M20 done done None 3224 0.0 10057313.865683457
LMC/w0.0 M21 done done None 3285 0.0 9538161.472624883
LMC/w0.0 M22 done done None 3786 0.0 9042646.096161708
LMC/w0.0 M23 done done None 3959 0.0 8632643.899234181
LMC/w0.0 M24 done done None 4564 0.0 8265645.377943741
LMC/w0.0 M25 done done None 5052 0.0 7942519.839214036
LMC/w0.0 M30 done done None 7474 0.0 6735622.217617031
LMC/w0.0 M40 done done None 14258 0.0 5487902.57121772
LMC/w0.0 M50 running running None 42188 0.0 5099827.950904884
LMC/w0.0 M60 running running None 43694 0.0 4218214.430156586
LMC/w0.0 M80 running running None 49916 0.0 3416161.267408987
LMC/w0.0 M100 running running None 56829 0.0 3057445.895062238
LMC/w0.0 M120 running running None 62074 0.0 2853411.160608166
LMC/w0.2 M5.0 done done None 2046 0.0 108605888.20986074
LMC/w0.2 M5.2 done done None 2047 0.0 99442802.13423477
LMC/w0.2 M5.4 done done None 1954 0.0 91181191.73983905
LMC/w0.2 M5.6 done done None 1982 0.0 84065347.38903499
LMC/w0.2 M5.8 done done None 2193 0.0 78076499.524475
LMC/w0.2 M6.0 done done None 2006 0.0 72323491.10041378
LMC/w0.2 M6.5 done done None 2212 0.0 61156947.05556273
LMC/w0.2 M7.0 done done None 2028 0.0 52330687.2992143
LMC/w0.2 M7.5 done done None 2056 0.0 45595277.391254224
LMC/w0.2 M8.0 done done None 2120 0.0 40223296.83551301
LMC/w0.2 M9.0 done done None 2147 0.0 32221068.712639436
LMC/w0.2 M10 done done None 2122 0.0 26675256.61260074
LMC/w0.2 M11 done done None 2429 0.0 22815126.33955424
LMC/w0.2 M12 done done None 2404 0.0 19953835.95009727
LMC/w0.2 M13 done done None 2439 0.0 17727284.581766717
LMC/w0.2 M14 done done None 2469 0.0 15909244.603750208
LMC/w0.2 M15 done done None 2585 0.0 14484269.21860264
LMC/w0.2 M16 done done None 2360 0.0 13211466.68406743
LMC/w0.2 M17 done done None 2468 0.0 12273721.999909783
LMC/w0.2 M18 done done None 2686 0.0 11462590.949712824
LMC/w0.2 M19 done done None 2945 0.0 10721240.611826409
LMC/w0.2 M20 done done None 3102 0.0 10134120.54157162
LMC/w0.2 M21 done done None 3496 0.0 9577047.754888494
LMC/w0.2 M22 done done None 3863 0.0 9127202.664396724
LMC/w0.2 M23 done done None 3890 0.0 8709314.373336129
LMC/w0.2 M24 done done None 15330 0.0 9512111.558140714
LMC/w0.2 M25 done done None 5340 0.0 8074634.823214369
LMC/w0.2 M30 done done None 8437 0.0 6791937.003514287
LMC/w0.2 M40 running running None 24688 0.12095820877531496 5021339.51948559
LMC/w0.2 M50 running running None 34686 0.0 4742796.648153956
LMC/w0.2 M60 running running None 37508 0.0 4184864.175898144
LMC/w0.2 M80 running running None 45557 6.56799267774494e-29 3413673.8340724055
LMC/w0.2 M100 running running None 50234 0.0 3090434.5583944875
LMC/w0.2 M120 running running None 53534 0.12800402252484827 2559782.340581673
LMC/w0.4 M5.0 done done None 2096 0.0 110769904.38168885
LMC/w0.4 M5.2 done done None 1955 0.0 100941767.59499314
LMC/w0.4 M5.4 done done None 1847 0.0 93205325.67929776
LMC/w0.4 M5.6 done done None 2108 0.0 85647736.59084657
LMC/w0.4 M5.8 done done None 2232 0.0 79599430.6308662
LMC/w0.4 M6.0 done done None 1744 0.0 73692614.26182835
LMC/w0.4 M6.5 done done None 2020 0.0 62170864.35315963
LMC/w0.4 M7.0 done done None 1954 0.0 53274962.516246006
LMC/w0.4 M7.5 done done None 2018 0.0 46417532.61335232
LMC/w0.4 M8.0 done done None 2130 0.0 40910911.97072165
LMC/w0.4 M9.0 done done None 2324 0.0 33056668.945446428
LMC/w0.4 M10 done done None 2222 0.0 27349290.504332945
LMC/w0.4 M11 done done None 2540 0.0 23454966.077843286
LMC/w0.4 M12 done done None 2516 0.0 20498180.27607827
LMC/w0.4 M13 done done None 2485 0.0 18271379.06594277
LMC/w0.4 M14 done done None 2644 0.0 16353777.05846047
LMC/w0.4 M15 done done None 2702 0.0 14838149.563245192
LMC/w0.4 M16 done done None 2828 0.0 13610654.760406513
LMC/w0.4 M17 done done None 2983 0.0 12647519.38270656
LMC/w0.4 M18 done done None 3151 0.0 11791298.683513794
LMC/w0.4 M19 done done None 3039 0.0 11031633.409190899
LMC/w0.4 M20 done done None 3304 0.0 10370319.376156202
LMC/w0.4 M21 done done None 3622 0.0 9797607.348781772
