model_number,Minit,M,Xc,logTeff,logL,logLspec,tau_Fe,beta_Fe,kap_Fe,T_Fe,r_Fe_R,Gamma_Fe,Y_Fe,tau_ratio,v_c,mach_max,tau_crit,t_th_zone,t_th_above,t_th_peak,t_th_top,nu_turn,FeCZ_ncells,tau_top,tau_bot,nu_th_zone,nu_th_above,nu_th_peak,nu_th_top
12372,40,30.1838,0,3.94841,5.7325,4.25091,37442,0.149518,1.03338,176498,0.297444,1.41576,0.118271,2.95299,20.1089,0.161494,12679.3,3.54564e+08,3.83514e+08,1.41042e+08,2.89502e+07,0.0118956,394,5971.8,101356,3.87828e-05,3.58552e-05,9.74955e-05,0.000474987
12441,40,29.648,0,3.89802,5.73086,4.25704,43504.2,0.149339,1.03163,176506,0.247693,1.43345,0.107647,3.32691,19.5024,0.158092,13076.5,4.37884e+08,4.85562e+08,1.94622e+08,4.76784e+07,0.010382,386,7488.15,115143,3.14033e-05,2.83197e-05,7.06549e-05,0.000288411
12528,40,29.0542,0,3.84796,5.72862,4.26359,48453,0.147106,1.02694,176490,0.202012,1.44856,0.102095,3.66045,19.3165,0.154514,13236.9,5.08806e+08,5.86805e+08,2.6058e+08,7.79986e+07,0.00945603,392,9170.8,124050,2.7026e-05,2.34337e-05,5.27707e-05,0.000176298
12621,40,28.4442,0,3.89821,5.72656,4.27075,39884.5,0.141287,1.01143,176212,0.236925,1.45045,0.119898,3.1581,20.384,0.159561,12629.3,4.03034e+08,4.49933e+08,1.84094e+08,4.68993e+07,0.0111216,393,7067.14,104307,3.41187e-05,3.05623e-05,7.46956e-05,0.000293203
12761,40,27.5394,0,3.84798,5.72263,4.28085,45190.3,0.138544,1.00342,176328,0.193225,1.47277,0.113986,3.53503,20.2023,0.159662,12783.6,4.77559e+08,5.56151e+08,2.52883e+08,7.85916e+07,0.010132,386,8770.03,113561,2.87943e-05,2.47253e-05,5.43768e-05,0.000174968
12909,40,26.5855,0,3.89909,5.71835,4.29189,33680,0.12756,0.978886,175236,0.217394,1.47377,0.148279,2.89784,22.5039,0.168739,11622.5,3.43966e+08,3.89374e+08,1.65909e+08,4.54082e+07,0.0129036,393,6339.95,85844.4,3.99778e-05,3.53156e-05,8.28825e-05,0.00030283
12924,40,26.5206,0,3.95193,5.71836,4.29295,28221.6,0.123741,0.970465,175140,0.259217,1.46472,0.170103,2.5184,23.4421,0.171341,11206.1,2.75976e+08,3.03753e+08,1.20286e+08,2.77765e+07,0.014897,361,4960.09,72625.5,4.98267e-05,4.52703e-05,0.000114319,0.000495058
12939,40,26.5051,0,4.00306,5.71834,4.29319,24601.5,0.123065,0.964067,174894,0.314663,1.45586,0.18821,2.2446,23.9864,0.179478,10960.3,2.26935e+08,2.43851e+08,8.86402e+07,1.69165e+07,0.0168791,352,3990.02,64524.9,6.05945e-05,5.63909e-05,0.000155133,0.000812873
13080,40,25.6488,0,3.95185,5.71508,4.30419,34024.8,0.129453,0.964984,175569,0.282253,1.49459,0.148766,2.81486,21.591,0.175682,12087.6,3.42159e+08,3.73955e+08,1.43753e+08,3.17959e+07,0.0129423,384,5719.55,89675.8,4.01889e-05,3.67718e-05,9.56571e-05,0.000432476
13118,40,25.4562,0,3.9011,5.71357,4.30596,39600.3,0.131406,0.969271,175441,0.236391,1.50732,0.133338,3.15799,20.7659,0.169252,12539.7,4.18556e+08,4.70916e+08,1.96232e+08,5.23604e+07,0.0112469,388,7235.61,102731,3.28534e-05,2.92005e-05,7.0075e-05,0.000262622
13163,40,25.261,0,3.85029,5.7118,4.30753,46340.5,0.132918,0.972926,175882,0.196121,1.51845,0.119968,3.57255,20.04,0.163454,12971.3,5.06899e+08,5.93285e+08,2.71317e+08,8.63859e+07,0.00992392,393,9085.3,116598,2.71277e-05,2.31777e-05,5.06824e-05,0.000159181
13232,40,25.0514,0,3.80014,5.70957,4.30892,53430.1,0.134325,0.975828,175831,0.163212,1.52783,0.109315,3.98363,19.3494,0.158391,13412.4,6.03046e+08,7.49212e+08,3.78113e+08,1.46166e+08,0.00877923,386,11538.4,131250,2.28025e-05,1.83539e-05,3.63674e-05,9.40779e-05
13383,40,24.7584,0,3.75,5.70605,4.31051,62555.9,0.135864,0.977,175892,0.135519,1.53519,0.10004,4.4924,18.6043,0.153385,13924.8,7.17539e+08,9.73519e+08,5.47405e+08,2.5598e+08,0.00779995,368,15072.6,148367,1.91641e-05,1.4125e-05,2.51203e-05,5.3719e-05
