scenario,observable,mode,n,dBIC,a,floor,rms,free_beta,free_dBIC
S1 incoherent cells,nuchar,fixed omega 0.2,175,-11.02,0.4257,,0.4003,0.6819,-12.03
S1 incoherent cells,nuchar,fixed omega 0.4,175,-15.43,0.4154,,0.3953,0.7409,-14.04
S1 incoherent cells,nuchar,fixed omega 0.6,175,-17.19,0.4009,,0.3933,0.7739,-14.74
S2 Cantiello+09 microturbulence,nuchar,per-star omega,175,158.9,0.1257,,0.6505,-0.2065,7.425
S2 Cantiello+09 microturbulence,nuchar,fixed omega 0.0,175,152.9,0.08346,,0.6394,-0.1531,10.66
S2 Cantiello+09 microturbulence,nuchar,fixed omega 0.2,175,153.3,0.09557,,0.6402,-0.1647,10.08
S2 Cantiello+09 microturbulence,nuchar,fixed omega 0.4,175,152,0.1511,,0.6378,-0.1897,8.858
S2 Cantiello+09 microturbulence,nuchar,fixed omega 0.6,175,145.5,0.238,,0.6261,-0.2125,8.051
"S3 M_x F_c waves, v saturated",nuchar,per-star omega,175,-9.969,0.4212,,0.4015,0.6691,-11.61
"S3 M_x F_c waves, v saturated",nuchar,fixed omega 0.0,175,-6.039,0.4307,,0.4061,0.6272,-10.01
"S3 M_x F_c waves, v saturated",nuchar,fixed omega 0.2,175,-11.02,0.4257,,0.4003,0.6819,-12.03
"S3 M_x F_c waves, v saturated",nuchar,fixed omega 0.4,175,-15.43,0.4154,,0.3953,0.7409,-14.04
"S3 M_x F_c waves, v saturated",nuchar,fixed omega 0.6,175,-17.19,0.4009,,0.3933,0.7739,-14.74
"S3t M_t F_c waves, v saturated",nuchar,per-star omega,175,-9.969,0.4212,,0.4015,0.6691,-11.61
"S3t M_t F_c waves, v saturated",nuchar,fixed omega 0.0,175,-6.039,0.4307,,0.4061,0.6272,-10.01
"S3t M_t F_c waves, v saturated",nuchar,fixed omega 0.2,175,-11.02,0.4257,,0.4003,0.6819,-12.03
"S3t M_t F_c waves, v saturated",nuchar,fixed omega 0.4,175,-15.43,0.4154,,0.3953,0.7409,-14.04
"S3t M_t F_c waves, v saturated",nuchar,fixed omega 0.6,175,-17.19,0.4009,,0.3933,0.7739,-14.74
"S3c as S3, cells-diluted flux",nuchar,per-star omega,175,-9.969,0.4212,,0.4015,0.6691,-11.61
"S3c as S3, cells-diluted flux",nuchar,fixed omega 0.0,175,-6.039,0.4307,,0.4061,0.6272,-10.01
"S3c as S3, cells-diluted flux",nuchar,fixed omega 0.2,175,-11.02,0.4257,,0.4003,0.6819,-12.03
"S3c as S3, cells-diluted flux",nuchar,fixed omega 0.4,175,-15.43,0.4154,,0.3953,0.7409,-14.04
"S3c as S3, cells-diluted flux",nuchar,fixed omega 0.6,175,-17.19,0.4009,,0.3933,0.7739,-14.74
S4 core IGW (undamped),nuchar,per-star omega,178,17.5,2.399,,0.4323,-0.9752,10.54
S4 core IGW (undamped),nuchar,fixed omega 0.0,178,15.84,2.404,,0.4302,-0.9606,11.16
S4 core IGW (undamped),nuchar,fixed omega 0.2,178,15.67,2.405,,0.43,-0.9129,11.37
S4 core IGW (undamped),nuchar,fixed omega 0.4,178,16.32,2.404,,0.4308,-0.8857,11.27
S4 core IGW (undamped),nuchar,fixed omega 0.6,178,16.86,2.399,,0.4315,-0.6697,11.91
S5 v_c + M_t F_c/F + turnover,nuchar,per-star omega,175,-9.969,0.4212,,0.4015,0.6691,-11.61
S5 v_c + M_t F_c/F + turnover,nuchar,fixed omega 0.0,175,-6.039,0.4307,,0.4061,0.6272,-10.01
S5 v_c + M_t F_c/F + turnover,nuchar,fixed omega 0.2,175,-11.02,0.4257,,0.4003,0.6819,-12.03
S5 v_c + M_t F_c/F + turnover,nuchar,fixed omega 0.4,175,-15.43,0.4154,,0.3953,0.7409,-14.04
S5 v_c + M_t F_c/F + turnover,nuchar,fixed omega 0.6,175,-17.19,0.4009,,0.3933,0.7739,-14.74
