observable,logTeff,logLspec,vsini,omega,omega_from_vsini
vmac,4.496,4.143,95,0.6,True
vmac,4.509,4.268,76,0.282,False
vmac,4.473,4.132,48,0.6,True
vmac,4.36,3.42,14,0.03978,True
vmac,4.371,3.575,89,0.3341,True
vmac,4.369,4.108,58,0.6,True
vmac,4.498,4.224,65,0.6,True
vmac,4.415,3.731,23,0.282,False
vmac,4.476,3.954,111,0.6,True
vmac,4.449,4.256,121,0.6,True
vmac,4.497,4.279,70,0.282,False
vmac,4.4,4,41,0.4831,True
vmac,4.453,4.154,67,0.6,True
vmac,4.456,4.226,80,0.6,True
vmac,4.382,4.119,59,0.6,True
vmac,4.43,4.13,60,0.6,True
vmac,4.467,3.948,28,0.1232,True
vmac,4.436,4.006,88,0.6,True
vmac,4.513,3.304,28,0.05445,True
vmac,4.422,3.947,38,0.1904,True
vmac,4.387,4.081,71,0.6,True
vmac,4.468,3.704,142,0.3589,True
vmac,4.491,4.056,78,0.6,True
vmac,4.425,3.42,85,0.1819,True
vmac,4.479,3.455,77,0.1605,True
vmac,4.461,4.005,54,0.3253,True
vmac,4.465,3.902,35,0.1313,True
vmac,4.4,3.38,20,0.04489,True
vmac,4.439,4.038,43,0.3151,True
vmac,4.481,3.417,19,0.03908,True
vmac,4.354,3.427,17,0.05041,True
vmac,4.512,3.418,127,0.2568,True
vmac,4.458,4.282,92,0.282,False
vmac,4.4,3.25,42,0.0923,True
vmac,4.334,3.339,74,0.2382,True
vmac,4.427,3.657,76,0.1808,True
vmac,4.393,3.702,112,0.282,False
vmac,4.515,3.549,32,0.06808,True
vmac,4.407,4.087,92,0.6,True
vmac,4.468,3.334,68,0.1384,True
vmac,4.505,3.962,45,0.1973,True
vmac,4.338,3.425,47,0.1851,True
vmac,4.422,3.927,41,0.1813,True
vmac,4.393,4.002,53,0.6,True
vmac,4.491,4.116,101,0.6,True
vmac,4.43,4.14,80,0.6,True
vmac,4.446,4.183,127,0.6,True
vmac,4.288,3.232,30,0.1423,True
vmac,4.418,3.534,34,0.07578,True
vmac,4.436,4.116,45,0.6,True
vmac,4.42,4.111,78,0.6,True
vmac,4.494,3.788,126,0.3644,True
vmac,4.49,4.031,57,0.4284,True
vmac,4.438,3.802,28,0.08088,True
vmac,4.408,3.764,33,0.08783,True
vmac,4.511,3.433,67,0.1358,True
vmac,4.48,4.091,107,0.6,True
vmac,4.425,3.7,46,0.1138,True
vmac,4.423,4.124,56,0.6,True
vmac,4.428,3.673,25,0.06026,True
vmac,4.367,4.11,57,0.6,True
vmac,4.413,4.234,66,0.6,True
vmac,4.496,4.193,116,0.6,True
vmac,4.34,3.363,23,0.0711,True
vmac,4.41,4.131,47,0.6,True
vmac,4.425,3.45,131,0.2819,True
vmac,4.418,4.164,74,0.6,True
vmac,4.33,3.143,4,0.01075,True
vmac,4.453,3.944,82,0.3939,True
vmac,4.377,3.587,67,0.2213,True
vmac,4.394,3.379,51,0.1179,True
vmac,4.328,3.184,9,0.02471,True
vmac,4.431,4.056,49,0.4899,True
vmac,4.446,3.633,139,0.3284,True
vmac,4.415,4.101,55,0.6,True
vmac,4.467,3.738,144,0.384,True
vmac,4.318,3.293,66,0.2372,True
vmac,4.394,4.099,60,0.6,True
vmac,4.403,3.523,73,0.1684,True
vmac,4.49,3.901,25,0.09172,True
vmac,4.491,4.066,112,0.6,True
vmac,4.507,4.027,47,0.3116,True
vmac,4.436,3.956,33,0.1476,True
vmac,4.423,3.774,40,0.1103,True
vmac,4.427,4.067,56,0.6,True
vmac,4.477,3.969,74,0.3892,True
vmac,4.502,3.541,16,0.03414,True
vmac,4.471,3.646,45,0.1048,True
vmac,4.35,3.422,32,0.1005,True
vmac,4.431,4.186,56,0.6,True
vmac,4.433,3.883,61,0.282,False
vmac,4.456,3.846,44,0.141,True
vmac,4.401,3.987,60,0.5974,True
vmac,4.502,4.081,124,0.6,True
vmac,4.442,3.791,32,0.08972,True
vmac,4.396,4.036,71,0.6,True
vmac,4.433,4.253,60,0.6,True
vmac,4.428,3.553,54,0.1206,True
vmac,4.444,3.437,69,0.1464,True
vmac,4.431,3.476,135,0.2923,True
vmac,4.365,3.283,108,0.2906,True
vmac,4.433,4.153,51,0.6,True
vmac,4.444,3.257,9,0.01842,True
vmac,4.378,3.505,15,0.04092,True
vmac,4.354,3.427,32,0.09489,True
vmac,4.382,3.339,25,0.06089,True
vmac,4.387,3.981,73,0.6,True
vmac,4.511,4.123,94,0.6,True
vmac,4.438,4.122,45,0.6,True
vmac,4.431,4.246,91,0.6,True
vmac,4.369,3.418,18,0.04843,True
vmac,4.465,3.532,25,0.05417,True
vmac,4.438,4.192,86,0.6,True
vmac,4.449,3.996,105,0.6,True
vmac,4.494,4.028,119,0.6,True
vmac,4.401,4.257,63,0.6,True
vmac,4.461,4.065,170,0.6,True
vmac,4.505,4.102,107,0.6,True
vmac,4.413,3.564,110,0.2491,True
vmac,4.338,3.455,38,0.1653,True
vmac,4.417,3.898,37,0.282,False
vmac,4.467,3.698,88,0.2165,True
vmac,4.412,3.557,25,0.05659,True
vmac,4.449,3.396,19,0.03974,True
vmac,4.436,3.406,17,0.03595,True
vmac,4.458,3.562,16,0.03536,True
vmac,4.352,3.35,8,0.02231,True
vmac,4.364,3.425,10,0.02791,True
vmac,4.533,4.032,69,0.5531,True
vmac,4.511,4.203,43,0.6,True
vmac,4.522,4.091,123,0.6,True
vmac,4.444,3.807,82,0.2436,True
vmac,4.344,3.459,114,0.5877,True
vmac,4.418,4.024,160,0.6,True
vmac,4.447,3.66,50,0.1188,True
vmac,4.49,3.501,94,0.1981,True
vmac,4.423,3.664,94,0.2264,True
vmac,4.342,4.161,49,0.6,True
vmac,4.375,3.58,47,0.1556,True
vmac,4.525,3.561,168,0.353,True
vmac,4.41,4.071,74,0.6,True
vmac,4.519,3.675,10,0.02339,True
vmac,4.461,3.955,39,0.1754,True
vmac,4.377,3.607,26,0.09134,True
vmac,4.373,4.163,47,0.6,True
vmac,4.459,3.719,24,0.06033,True
vmac,4.479,3.455,12,0.02501,True
vmac,4.41,4.081,128,0.6,True
vmac,4.365,3.483,108,0.3555,True
vmac,4.417,3.308,8,0.01686,True
vmac,4.52,3.91,78,0.3018,True
vmac,4.487,4.089,63,0.6,True
vmac,4.481,3.677,24,0.05711,True
vmac,4.386,3.993,44,0.6,True
vmac,4.444,3.337,7,0.01451,True
vmac,4.474,4.078,45,0.5771,True
vmac,4.346,3.376,166,0.6,True
vmac,4.533,4.192,73,0.6,True
vmac,4.332,3.271,44,0.1256,True
vmac,4.369,3.358,18,0.04689,True
vmac,4.449,4.226,77,0.6,True
vmac,4.502,3.981,72,0.3795,True
vmac,4.491,4.266,54,0.6,True
vmac,4.447,3.37,123,0.2559,True
vmac,4.41,4.141,56,0.6,True
vmac,4.435,4.209,79,0.6,True
vmac,4.427,4.267,61,0.282,False
vmac,4.433,4.253,69,0.6,True
vmac,4.384,3.426,87,0.2207,True
vmac,4.425,3.94,42,0.1841,True
vmac,4.452,4.108,36,0.6,True
vmac,4.524,3.536,55,0.1153,True
vmac,4.401,4.077,101,0.6,True
vmac,4.515,3.799,28,0.07809,True
vmac,4.511,4.223,74,0.6,True
vmac,4.534,3.877,56,0.1837,True
vmac,4.569,4.158,67,0.6,True
vmac,4.543,3.672,124,0.282,True
vmac,4.594,3.929,127,0.4641,True
vmac,4.572,4.048,75,0.5838,True
vmac,4.561,4.115,72,0.6,True
