# subgrid mass class termination_code min_timestep_limit model_number Xc star_age
LMC/w0.4 M25 fail_pms min_timestep_limit 0.1 4693 7.07347344057148e-18 7473725.526248489
LMC/w0.4 M30 fail_pms min_timestep_limit 0.1 7351 6.726255929226021e-21 6400992.547374467
LMC/w0.4 M40 fail_pms min_timestep_limit 0.1 14895 0.0 5199615.232197281
LMC/w0.4 M50 running running None 80091 0.0 5040956.716053534
LMC/w0.4 M60 running running None 80349 0.0 4262952.689484392
LMC/w0.4 M80 fail_pms min_timestep_limit 0.1 46839 0.0 3503493.0880151982
LMC/w0.4 M100 running running None 96896 0.0 3163164.032500265
LMC/w0.4 M120 running running None 113168 8.948628772611052e-26 2928458.5395079846
LMC/w0.6 M5.0 fail_ms min_timestep_limit 0.1 912 0.010792378972346344 97968900.81405732
LMC/w0.6 M5.2 fail_ms min_timestep_limit 0.1 926 0.011495604514108266 90460775.31519365
LMC/w0.6 M5.4 fail_ms min_timestep_limit 0.1 943 0.007130814524283799 83232461.70258887
LMC/w0.6 M5.6 fail_ms min_timestep_limit 0.1 959 0.008577351084312033 77322120.10086566
LMC/w0.6 M5.8 fail_ms min_timestep_limit 0.1 975 0.005525552561248956 71523100.60546671
LMC/w0.6 M6.0 fail_ms min_timestep_limit 0.1 995 0.003470843207165586 67033005.71491908
LMC/w0.6 M6.5 fail_ms min_timestep_limit 0.1 1051 0.002628558315425094 57133059.276355855
LMC/w0.6 M7.0 fail_ms min_timestep_limit 0.1 1111 0.002345198822570055 49122789.595729165
LMC/w0.6 M7.5 fail_ms min_timestep_limit 0.1 1184 0.001172138463958593 42874566.03832776
LMC/w0.6 M8.0 fail_ms min_timestep_limit 0.1 1267 0.0010012523745383227 37947090.97500716
LMC/w0.6 M9.0 fail_pms min_timestep_limit 0.1 1493 0.00018741772561089437 30966621.348077726
LMC/w0.6 M10 fail_pms min_timestep_limit 0.1 1465 3.800548045605975e-05 25745227.57297566
LMC/w0.6 M11 fail_pms min_timestep_limit 0.1 1746 2.360667694564302e-06 22438243.922432918
LMC/w0.6 M12 done done None 2841 0.0 21307912.010139532
LMC/w0.6 M13 fail_ms min_timestep_limit 0.1 1189 0.2572070902196143 14532148.745326435
LMC/w0.6 M14 fail_ms min_timestep_limit 0.1 1341 0.20408689903124783 13973000.341709225
LMC/w0.6 M15 fail_ms min_timestep_limit 0.1 1466 0.17789519244850716 12740458.837255253
LMC/w0.6 M16 fail_ms min_timestep_limit 0.1 1689 0.14218957973120833 12231905.333302898
LMC/w0.6 M17 fail_ms min_timestep_limit 0.1 1992 0.10813476612974482 11795504.360443275
LMC/w0.6 M18 fail_ms min_timestep_limit 0.1 2273 0.05904071926679005 11185540.47414302
LMC/w0.6 M19 fail_ms min_timestep_limit 0.1 2810 0.019180860641405662 10992480.399880039
LMC/w0.6 M20 fail_ms min_timestep_limit 0.1 3020 0.003799859734926232 10197882.76662745
LMC/w0.6 M21 fail_ms min_timestep_limit 0.1 3971 0.0029703249070007777 10107839.549745778
LMC/w0.6 M22 fail_pms min_timestep_limit 0.1 4832 9.964517674095885e-07 9531701.952178245
LMC/w0.6 M23 fail_pms min_timestep_limit 0.1 5295 0.00011995484505176943 9097762.547669284
