id,sector,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,dbic_slf_vs_white
HD_53975,87,13862,17.919,9321,1.8048,92.757,1.242,0.55016,4540.9
HD_54764,7,22399,187.85,12245,1.023,1351.8,2.0083,6.886,10153
HD_54764,33,23642,186.99,12391,0.86718,1489.5,1.8855,5.28,11251
HD_54764,87,23983,212.55,14899,0.35997,2980.2,1.3583,7.874,9083.6
HD_54879,7,3067.7,1.3285,1683.5,1.1721,7.0508,2.4615,0.8477,1384.3
HD_54879,33,3285.8,1.3432,1277.4,0.54152,11.896,1.5662,0.73879,2008.4
HD_55879,7,13915,21.381,9477.1,1.584,115.56,1.2019,0.0012379,4437.8
HD_55879,33,14760,21.703,9819.2,1.865,107.77,1.2781,0.0015664,4941
HD_55879,87,14790,22.48,9803.9,1.4326,129.92,1.2194,0.0032786,4985.9
HD_5689,18,8740.5,6.1436,3842.7,3.6373,22.878,1.8379,0.52645,4897.9
HD_5689,24,10352,7.0067,4448.2,3.8063,25.621,2.0305,0.61044,5904.1
HD_5689,25,9463.8,6.0894,4159,4.0223,21.735,1.9375,0.53097,5304.8
HD_57061,7,19955,100.45,12790,1.0481,735.05,1.7255,8.9204,7164.6
HD_57061,33,20526,87.85,13493,0.72768,785.58,1.6007,10.065,7033.3
HD_57061,34,21863,146.33,16039,0.5393,1555.2,1.3806,21.309,5823.7
HD_57061,61,15833,35.539,11820,0.75892,301.81,1.2615,7.7988,4013.9
HD_57539,7,15346,30.847,7279.2,0.20972,575.34,1.289,2.0732,8066.6
HD_57682,7,11240,10.776,7662.6,0.53538,92.33,0.89945,0.0016231,3577.4
HD_57682,34,11908,11.921,8029.3,0.41682,112.66,0.88224,0.0015342,3878.8
HD_61068,7,15709,33.855,10084,2.5623,146.51,1.6719,2.5271,5625.6
HD_61068,34,16484,37.465,10678,2.6527,158.55,1.6975,2.7549,5806
HD_61068,61,15035,30.008,10073,6.3015,83.822,2.5883,2.7372,4961.9
HD_61068,88,17918,34.383,10538,3.4824,125.87,2.1146,2.1837,7379.2
HD_64568,34,3746.5,1.5462,1393.7,4.4487,5.0534,1.3334,0.30777,2352.8
