gaia,sector,Tmag,nu_in,R,a0_in,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4686408111398825728,28,12.6,1.5,0.1,0.33895,3.3895,0.28674,-2731.7,0.30731,-5600.5,0.457,3.2213,1.5838,0.1328,-5612.5,0.098635,0.13161,-5596,1.8748,0.41614,10,0.041051,0.13225,-16.552,2868.8
4686408111398825728,28,12.6,1.5,0.25,0.84736,3.3895,0.28674,-2568.8,0.32,-5712.2,0.27892,4.4923,1.2728,0.12382,-5724.5,0.16549,0.12477,-5708.7,4.1293,0.17304,10,0.10735,0.12505,-15.753,3143.4
4686408111398825728,28,12.6,3,0.1,0.33895,3.3895,0.28674,-2767.8,0.30457,-5405.8,0.6077,2.6723,1.4703,0.13433,-5414.1,0.21065,0.1342,-5399.8,1.1943,1.2544,1.8197,-0.04389,0.13515,-14.248,2638
4686408111398825728,28,12.6,3,0.25,0.84736,3.3895,0.28674,-2155.6,0.35456,-5209.7,0.53258,3.2881,1.1546,0.12162,-5184.6,0.44446,0.12866,-5203.4,1.1504,1.6741,1.2756,-0.020884,0.12321,18.771,3054.1
4686408111398825728,68,12.6,0.3,0.1,0.58128,5.8128,0.30046,1109.5,0.77943,-3911.4,0.42712,8.5631,1.125,0.14393,-3915.1,0.38494,0.15048,-3904.5,0.58834,5.6112,1.1371,0.054905,0.14469,-10.631,5020.9
4686408111398825728,68,12.6,0.3,0.25,1.4532,5.8128,0.30046,1086.5,0.77536,-4026.7,0.38742,8.9811,1.1132,0.13941,-4030.9,0.37415,0.14642,-4019.8,0.49887,6.2079,1.1153,0.037571,0.13992,-11.197,5113.3
4686408111398825728,68,12.6,0.7,0.1,0.58128,5.8128,0.30046,1207.9,0.79706,-3869.5,0.41999,8.8375,1.1244,0.14452,-3873.5,0.39207,0.15116,-3862.6,0.5816,5.7432,1.1365,0.066513,0.14532,-10.893,5077.3
4686408111398825728,68,12.6,0.7,0.25,1.4532,5.8128,0.30046,1335.4,0.82052,-3847.1,0.39679,9.4324,1.1219,0.14426,-3852.1,0.39782,0.15096,-3840.2,0.4729,7.1761,1.1222,0.018774,0.14461,-11.901,5182.6
4686408111398825728,68,12.6,1.5,0.1,0.58128,5.8128,0.30046,1170.4,0.79029,-3873.6,0.44094,8.5014,1.126,0.14328,-3876.4,0.39568,0.15006,-3866.7,0.74686,4.546,1.1593,0.11068,0.14478,-9.6548,5044
4686408111398825728,68,12.6,1.5,0.25,1.4532,5.8128,0.30046,1438,0.8399,-3774,0.54593,8.1725,1.1799,0.14426,-3778.7,0.42685,0.14761,-3767.2,0.77949,5.3474,1.2157,0.08169,0.14543,-11.469,5212.1
4686408111398825728,68,12.6,3,0.1,0.58128,5.8128,0.30046,1127.6,0.78264,-3825.8,0.59181,7.2203,1.1748,0.144,-3827.2,0.41374,0.14826,-3819.4,1.0129,4.0612,1.2413,0.085445,0.14606,-7.8153,4953.4
4686408111398825728,68,12.6,3,0.25,1.4532,5.8128,0.30046,1340.3,0.82144,-3533.9,0.93223,5.9843,1.2727,0.15107,-3528.8,0.47129,0.15018,-3529.3,1.754,3.2415,1.4251,0.10312,0.15462,0.52926,4874.2
4686413540237697408,28,14.4,0.3,0.1,0.20503,2.0503,0.28674,-2233.3,0.34779,-2689.6,1.0147,1.4183,1.6628,0.29008,-2691.5,0.29973,0.29141,-2684.4,1.7562,0.82653,2.357,-0.062205,0.29058,-7.109,456.3
4686413540237697408,28,14.4,0.3,0.25,0.51258,2.0503,0.28674,-2249.8,0.34637,-2690.2,1.0751,1.3573,1.7035,0.29013,-2691.1,0.29964,0.29145,-2685,1.7771,0.82634,2.3871,-0.083463,0.29062,-6.0755,440.38
4686413540237697408,28,14.4,0.7,0.1,0.20503,2.0503,0.28674,-2217.2,0.34918,-2685.2,0.99951,1.4467,1.6403,0.2901,-2687,0.30534,0.29152,-2680.2,1.8238,0.80237,2.4159,-0.04304,0.29066,-6.8402,468.02
4686413540237697408,28,14.4,0.7,0.25,0.51258,2.0503,0.28674,-2180.6,0.35237,-2675.6,1.1266,1.4002,1.7584,0.29012,-2675.4,0.33265,0.29121,-2670.8,1.8344,0.85502,2.494,-0.058729,0.29063,-4.5928,494.96
