id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
GAIA DR3 4685943121123943680,4685943121123943680,67,0,lin,True,6,2.0015,0.45695,7.0753,0.12682,0.023099,0.0038145,0.3298,0.0015923,8224.2,27.75,11490,3.3334,True,True
GAIA DR3 4685943121123943680,4685943121123943680,68,0,log,False,0,2.8071,0.21885,1.4969,0.082225,0.65938,0.053906,0.068679,0.00088598,2897.5,27.525,11218,3.3333,True,True
GAIA DR3 4685943121123943680,4685943121123943680,68,0,log,True,5,9.8462,0.02,1.0534,0.079914,21.676,0.0475,0.072014,0.0013738,1872.1,27.525,11218,3.3333,False,True
GAIA DR3 4685943121123943680,4685943121123943680,68,0,lin,False,0,2.4806,0.40357,1.7824,0.1007,0.073568,0.017218,0.054521,0.0021539,6905.3,27.525,11218,3.3333,True,True
GAIA DR3 4685943121123943680,4685943121123943680,68,0,lin,True,5,2.2039,0.37123,24.628,0.11317,0.016973,0.0011452,1.6198,0.0012706,11203,27.525,11218,3.3333,True,True
GAIA DR3 4685943254211136000,4685943254211136000,27,0,log,False,0,1.4639,0.40324,1.6694,0.13577,0.23553,0.074654,0.10648,0.0012427,1743.5,24.354,3351,10,True,True
GAIA DR3 4685943254211136000,4685943254211136000,27,0,log,True,0,1.4639,0.40324,1.6694,0.13577,0.23553,0.074654,0.10648,0.0012427,1743.5,24.354,3351,10,True,True
GAIA DR3 4685943254211136000,4685943254211136000,27,0,lin,False,0,1.4194,0.56008,2.2301,0.16345,0.02745,0.014384,0.064912,0.0012936,7742.8,24.354,3351,10,True,True
GAIA DR3 4685943254211136000,4685943254211136000,27,0,lin,True,0,1.4194,0.56008,2.2301,0.16345,0.02745,0.014384,0.064912,0.0012936,7742.8,24.354,3351,10,True,True
GAIA DR3 4685943254211136000,4685943254211136000,67,0,log,False,0,4.3194,0.23313,1.7758,0.15091,0.91212,0.046064,0.087699,0.001183,2462.7,27.75,11463,3.3334,True,True
GAIA DR3 4685943254211136000,4685943254211136000,67,0,log,True,0,4.3194,0.23313,1.7758,0.15091,0.91212,0.046064,0.087699,0.001183,2462.7,27.75,11463,3.3334,True,True
GAIA DR3 4685943254211136000,4685943254211136000,67,0,lin,False,0,4.4488,0.28298,2.0774,0.18247,0.094718,0.007374,0.043713,0.0017808,12305,27.75,11463,3.3334,True,True
GAIA DR3 4685943254211136000,4685943254211136000,67,0,lin,True,0,4.4488,0.28298,2.0774,0.18247,0.094718,0.007374,0.043713,0.0017808,12305,27.75,11463,3.3334,True,True
GAIA DR3 4685943254211136000,4685943254211136000,68,0,log,False,0,2.8496,0.84446,1.7999,0.16789,0.23062,0.076007,0.066627,0.0017966,4956,27.525,11218,3.3333,True,True
GAIA DR3 4685943254211136000,4685943254211136000,68,0,log,True,0,2.8496,0.84446,1.7999,0.16789,0.23062,0.076007,0.066627,0.0017966,4956,27.525,11218,3.3333,True,True
GAIA DR3 4685943254211136000,4685943254211136000,68,0,lin,False,0,4.446,0.56359,1.4984,0.18729,0.092084,0.019273,0.031559,0.0040235,11519,27.525,11218,3.3333,True,True
GAIA DR3 4685943254211136000,4685943254211136000,68,0,lin,True,0,4.446,0.56359,1.4984,0.18729,0.092084,0.019273,0.031559,0.0040235,11519,27.525,11218,3.3333,True,True
GAIA DR3 4685945010910000640,4685945010910000640,27,0,log,False,0,0.71028,0.66349,2.2376,0.070206,0.070552,0.065454,0.1306,0.00054158,2261.5,24.354,3351,10,True,True
GAIA DR3 4685945010910000640,4685945010910000640,27,0,log,True,3,8.7978,0.02,1.1965,0.068184,27.4,0.058069,0.092919,0.00083381,1214.2,24.354,3351,10,False,True
