gaia,sector,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
4685943254211136000,67,lin,True,0,7.4017,0.17804,1.4995,0.21733,0.058929,0.0025297,0.012297,0.00062669,53990,27.75,11464,3.3334,True,True
4685943254211136000,68,log,False,0,8.496,0.3599,1.481,0.22264,0.85617,0.039729,0.033707,0.00072795,8193.4,27.525,11218,3.3333,True,True
4685943254211136000,68,log,True,1,4.6545,0.44554,1.7198,0.21118,0.43141,0.04418,0.053312,0.00060937,5367.5,27.525,11218,3.3333,True,True
4685943254211136000,68,lin,False,0,95.517,0.02,1.1419,0.26504,1.7644,0.00055408,0.0055332,0.0013609,91540,27.525,11218,3.3333,False,True
4685943254211136000,68,lin,True,0,95.517,0.02,1.1419,0.26504,1.7644,0.00055408,0.0055332,0.0013609,91540,27.525,11218,3.3333,False,True
4685945010910000640,27,log,False,0,3.6961,0.57894,2.1348,0.31889,0.33502,0.0544,0.11046,0.0017196,2674.2,24.354,3351,10,True,True
4685945010910000640,27,log,True,3,8.0673,0.0989,1.3222,0.31558,2.0694,0.030449,0.07022,0.0020539,1590.8,24.354,3351,10,False,True
4685945010910000640,27,lin,False,0,4.9815,0.56823,1.9186,0.37038,0.067029,0.01228,0.040872,0.0030278,12521,24.354,3351,10,True,True
4685945010910000640,27,lin,True,1,4.801,0.57437,2.2301,0.37567,0.057878,0.010244,0.04947,0.0027597,13131,24.354,3351,10,True,True
4685945010910000640,68,log,False,0,3.9727,0.79852,2.2262,0.28423,0.27984,0.055474,0.085529,0.00079956,4960.1,27.525,11218,3.3333,True,True
4685945010910000640,68,log,True,4,8.5579,0.1643,1.4141,0.28194,1.4065,0.030509,0.049321,0.00086987,3293.9,27.525,11218,3.3333,True,True
4685945010910000640,68,lin,False,0,8.1485,0.4209,1.4873,0.33015,0.076769,0.0073553,0.01595,0.0014816,37034,27.525,11218,3.3333,True,True
4685945010910000640,68,lin,True,0,8.1485,0.4209,1.4873,0.33015,0.076769,0.0073553,0.01595,0.0014816,37034,27.525,11218,3.3333,True,True
4685947553531340800,27,log,False,0,1.6299,0.78942,2.4006,0.27774,0.1379,0.070532,0.16971,0.0014664,1773.9,24.354,3351,10,True,True
4685947553531340800,27,log,True,2,1.9488,0.32247,1.7433,0.27557,0.28385,0.057571,0.13615,0.0015257,1026.5,24.354,3351,10,True,True
4685947553531340800,27,lin,False,0,10.477,0.099229,10,0.35026,0.06705,0.00040401,0.33735,0.0018035,18849,24.354,3351,10,False,True
4685947553531340800,27,lin,True,12,8.9738,0.10642,10,0.34023,0.053929,0.00041067,0.32007,0.0015202,20253,24.354,3351,10,False,True
4685947553531340800,28,log,False,0,1.0586,0.85654,1.8727,0.097976,0.082089,0.076071,0.079256,0.00061126,3790.2,25.236,3449,9.9999,True,True
