gaia,sector,Tmag,cls,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4686417148009897344,27,13.4,none,0.97064,0.81815,-5768.5,0.13732,-7517.4,0.02,11.162,1.0331,0.080282,-7501.1,-0.10315,0.081915,-7509.5,0.02,9.7845,1.0315,-0.49524,0.08059,8.3306,1748.9
4686417148009897344,28,13.4,none,1.623,0.29868,-4681.1,0.18941,-6979.6,0.10076,4.6108,1.0231,0.090809,-6982.2,0.2662,0.094399,-6973.9,0.16474,0.64084,0.59474,0.17766,0.08651,-8.3038,2298.5
4686417148009897344,68,13.4,none,3.2528,0.39049,-3341.2,0.28319,-6695.4,0.074474,8.2779,0.91196,0.094426,-6698.4,0.014576,0.10183,-6695.5,14.102,0.083123,10,-0.03715,0.099324,-2.8696,3354.2
4687158592506675328,27,12.3,SLF,2.5197,0.81815,-743.62,0.50006,-5468.2,0.02,39.061,0.9835,0.11295,-5352.9,0.2287,0.12991,-5459.7,0.02,35.245,0.96659,-0.46492,0.11279,106.83,4724.6
4687158592506675328,68,12.3,SLF,8.3704,0.34547,2219.4,1.0033,-3074.3,0.38598,11.598,1.138,0.17888,-3085.9,0.2235,0.18226,-3096.8,10.626,0.34601,10,0.1449,0.18644,10.881,5293.6
4687159868124113152,27,10,none,9.9921,0.81815,858.59,0.75507,-1225,0.02,15.265,0.55206,0.18497,-1002.2,-0.25419,0.42761,-1250.5,22.013,0.5728,2.3576,-0.36467,0.24926,248.24,2083.6
4687159868124113152,28,10,none,18.307,0.28674,9945.2,7.1513,4406.6,0.74715,58.874,1.7661,1.3979,4419.6,0.76679,1.3785,4413.6,0.76215,57.205,1.7759,-0.058658,1.3976,5.9942,5538.6
4687159868124113152,68,10,none,33.171,0.39049,6391.1,2.5916,1157.9,0.22035,42.319,1.111,0.52731,1145.6,-0.081922,0.53488,1163,0.12132,55.019,4.4012,-0.086587,0.53626,-17.385,5233.3
4687161895348646400,27,13.8,SLF,0.86923,0.81815,-4195.1,0.20582,-5659.8,1.1402,1.125,2.5955,0.12871,-5667.9,0.27748,0.12891,-5652.5,1.1808,1.0075,2.628,-0.16795,0.1287,-15.349,1464.7
4687161929708394752,27,12.8,none,2.1024,0.81815,-5952.3,0.13098,-6652.4,0.02,6.7032,0.93209,0.10258,-6650,-0.54149,0.10425,-6641.4,0.02,5.825,0.93788,-0.84988,0.10304,-8.628,700.06
4687161929708394752,68,12.8,none,7.4697,0.30046,5056.1,1.9128,-1287,1.0954,13.084,1.5965,0.27724,-1250.2,0.5604,0.24847,-1280.2,1.4043,9.8672,1.7255,0.17061,0.27537,30.034,6343.1
4687162582543422080,27,14,binary/rot,0.84391,0.81815,-5257.5,0.15661,-5614.8,0.02,4.9951,0.85997,0.1361,-5606.8,-0.1823,0.13821,-5604.6,0.02,4.8121,0.86238,-0.68391,0.13627,-2.2127,357.33
4687162582543422080,68,14,binary/rot,3.4674,0.34547,3386,1.3082,-1563.9,0.9065,10.01,1.5886,0.3114,-1550.4,0.67079,0.29122,-1557.2,1.6027,5.1615,2.2716,0.51561,0.30581,6.8448,4949.9
4687164055705068288,27,11.5,none,4.2871,0.81815,-3582.1,0.24097,-5594.6,0.02,31.736,1.2762,0.13598,-5550.4,-0.56039,0.13578,-5582.7,0.16648,4.7952,3.2088,-0.84006,0.13668,32.288,2012.6
4687164055705068288,28,11.5,none,8.4187,0.29868,10056,7.4806,3272.6,0.074303,249.25,0.98011,0.00054318,3421.1,1.452,0.62495,3279.5,0.074608,247.55,0.97965,0.004637,1e-06,141.56,6783.5
4687164055705068288,68,11.5,none,15.235,0.39049,-73.031,0.59559,-4468.1,0.15368,11.819,1.0927,0.16754,-4476.7,-0.43412,0.16851,-4462.8,0.16229,9.7819,4.2321,-0.44607,0.16917,-13.831,4395.1
4687165125163949952,27,13.4,SLF,1.2831,0.81815,-6044,0.12793,-7324.3,0.48149,1.0849,1.4742,0.084124,-7327.6,-0.17449,0.085314,-7316.5,3.2518,0.10384,6.0428,-0.2534,0.084649,-11.125,1280.3
4687165125163949952,68,13.4,SLF,4.5484,0.34547,-7086.9,0.12079,-7866.5,1.4828,0.46294,2.4986,0.093485,-7864.6,-0.57254,0.091904,-7860.6,1.9595,0.26244,10,-0.77787,0.093049,-3.9407,779.63
4687165709279578368,27,12.8,SLF,1.9405,0.81815,-5295,0.1551,-5931.2,0.36455,1.2159,1.3572,0.12396,-5939.4,-0.40431,0.12488,-5924.5,0.02,65803,6.6065,-0.44211,0.12504,-14.876,636.17
4687165709279578368,28,12.8,SLF,3.9433,0.29271,-782.35,0.4986,-4652.8,0.032018,32.516,1.0183,0.15237,-4653.9,0.28016,0.15969,-4644.1,0.16887,1.2415,0.60689,0.2054,0.14543,-9.847,3870.5
4687165709279578368,68,12.8,SLF,6.1067,0.34547,-4817.5,0.20241,-7179.3,0.5499,1.8376,1.2802,0.098709,-7191.7,-0.38275,0.097805,-7180,1.6021,0.5019,10,-0.44413,0.099128,-11.628,2361.8
