metric,prewhitened,qty,gaia,sector,lT,lL,ours,theirs,n_cand,n_pw,nuchar,diff
lin,False,a,4689003027613801216,67,4.3747,5.6500,2.3691,1.5497,1,0,0.0547,0.8193
lin,False,a,4689003027613801216,68,4.3747,5.6500,1.6067,1.7294,1,0,0.4230,-0.1227
lin,False,a,4689037181200454656,67,4.2742,4.8700,2.2212,1.8393,2,0,0.2382,0.3819
lin,False,a,4689054945164735616,27,4.3747,5.5400,1.1753,1.7641,1,0,0.4656,-0.5888
lin,False,a,4689054945164735616,67,4.3747,5.5400,1.3227,1.4925,1,0,0.4134,-0.1698
lin,False,a,4689062298150064640,28,4.4281,5.2800,1.3194,1.1249,1,0,0.5201,0.1945
lin,False,a,4689062298150064640,67,4.4281,5.2800,1.6406,1.6225,1,0,0.2702,0.0182
lin,False,a,4690503826587160832,28,4.3766,5.7900,1.9107,2.0552,1,0,0.4189,-0.1445
lin,False,a,4690503826587160832,67,4.3766,5.7900,1.5528,1.8524,1,0,0.6170,-0.2996
lin,False,a,4690506712804881792,67,4.3747,4.8700,1.3902,1.4213,1,0,0.4301,-0.0311
lin,False,a,4690507881037706112,28,4.1303,4.7700,0.9634,1.1232,1,0,1.0507,-0.1598
lin,False,a,4690507881037706112,67,4.1303,4.7700,0.9712,1.5958,2,0,1.0734,-0.6246
lin,False,a,4690516677131714432,28,4.5527,6.1200,1.5518,1.6748,1,0,0.7270,-0.1230
lin,False,a,4690516677131714432,67,4.5527,6.1200,1.6929,1.9224,1,0,0.5329,-0.2295
lin,False,a,4690516677131714432,68,4.5527,6.1200,1.5710,2.0206,1,0,0.6261,-0.4496
lin,False,a,4690520387983090432,68,4.3483,5.5500,2.0656,1.8592,1,0,0.1998,0.2064
lin,True,nu,4685835884339219456,68,4.2279,5.5500,-0.7632,-0.8062,1,0,0.1725,0.0430
lin,True,nu,4685943254211136000,27,4.2279,5.0200,-0.2517,-0.4907,1,0,0.5601,0.2390
lin,True,nu,4685943254211136000,67,4.2279,5.0200,-0.5482,-0.4585,1,0,0.2830,-0.0897
lin,True,nu,4685945010910000640,68,4.1761,4.8000,-0.0588,-0.6698,1,0,0.8734,0.6110
lin,True,nu,4685947553531340800,67,4.5763,6.1100,-1.5290,-0.8501,2,2,0.0296,-0.6789
lin,True,nu,4685972636146149504,28,4.4281,5.9300,-0.0624,-0.3961,1,0,0.8663,0.3337
lin,True,nu,4685972636146149504,67,4.4281,5.9300,-0.3656,-0.4411,1,1,0.4309,0.0755
lin,True,nu,4685976621875402368,28,4.1303,4.8700,-0.5762,-0.5052,1,0,0.2654,-0.0710
lin,True,nu,4685976621875402368,67,4.1303,4.8700,-1.6990,-0.8976,3,0,0.0200,-0.8014
lin,True,nu,4685983420730442624,27,4.2480,5.4500,-0.3602,-0.3892,1,0,0.4363,0.0290
lin,True,nu,4685983420730442624,28,4.2480,5.4500,-0.7420,-0.3732,1,0,0.1812,-0.3687
lin,True,nu,4685983420730442624,67,4.2480,5.4500,-0.4575,-0.5717,2,0,0.3488,0.1142
lin,True,nu,4685983420730442624,68,4.2480,5.4500,-1.6990,-0.9270,1,0,0.0200,-0.7720
lin,True,nu,4686413230999834496,27,4.5024,5.1600,-0.5654,-0.5621,1,0,0.2721,-0.0033
lin,True,nu,4686413437158238208,27,4.4281,5.9800,-0.1927,-0.1491,1,2,0.6417,-0.0436
lin,True,nu,4686413437158238208,28,4.4281,5.9800,-0.2994,-0.2034,1,0,0.5018,-0.0960
lin,True,nu,4686414467950355072,27,4.4281,5.6100,-0.4838,-0.2590,1,0,0.3282,-0.2248
lin,True,nu,4687165125163949952,27,4.3747,5.3400,-0.1277,-0.4230,1,0,0.7453,0.2954
lin,True,nu,4687165125163949952,68,4.3747,5.3400,-0.0847,-0.6821,1,0,0.8227,0.5974
lin,True,nu,4687426087389568768,67,4.2765,4.8100,-1.6990,-0.5149,1,0,0.0200,-1.1841
lin,True,nu,4687478138084449536,67,4.4281,5.7800,-0.5285,-0.6797,1,0,0.2961,0.1512
lin,True,nu,4687485491055825536,27,4.2788,5.4600,-0.3108,-0.3302,1,4,0.4889,0.0194
lin,True,nu,4687485491055825536,28,4.2788,5.4600,-0.6957,-0.7994,1,1,0.2015,0.1037
lin,True,nu,4687501953697501568,27,4.4757,5.2800,-0.3721,-0.3421,1,2,0.4245,-0.0300
lin,True,nu,4687501953697501568,28,4.4757,5.2800,-0.1806,-0.4482,1,13,0.6598,0.2676
lin,True,nu,4687501953697501568,67,4.4757,5.2800,-0.4108,-0.3288,1,10,0.3883,-0.0820
lin,True,nu,4687501953697501568,68,4.4757,5.2800,-0.2229,-0.6274,1,19,0.5985,0.4045
lin,True,nu,4687509749039520768,27,4.4281,5.4100,-0.4418,-0.5848,1,0,0.3615,0.1430
lin,True,nu,4687509749039520768,67,4.4281,5.4100,-1.6990,-0.8902,1,0,0.0200,-0.8088
lin,True,nu,4687509749039520768,68,4.4281,5.4100,-0.3652,-0.7692,1,0,0.4314,0.4040
lin,True,nu,4687513910877142528,27,4.5276,5.3900,0.3225,-0.3000,1,9,2.1014,0.6226
lin,True,nu,4687513910877142528,28,4.5276,5.3900,-0.0884,-0.5595,1,14,0.8157,0.4711
lin,True,nu,4687513910877142528,67,4.5276,5.3900,0.1275,-0.4500,1,0,1.3412,0.5775
lin,True,nu,4687513910877142528,68,4.5276,5.3900,0.0026,-0.6670,1,1,1.0061,0.6696
lin,True,nu,4688978838366817280,27,4.4757,5.9000,-0.1911,-0.3057,1,0,0.6441,0.1147
lin,True,nu,4688978838366817280,68,4.4757,5.9000,-0.3737,-0.6319,1,2,0.4230,0.2581
lin,True,nu,4688980414561766016,27,4.1038,4.8600,-1.0611,-0.6579,1,0,0.0869,-0.4032
lin,True,nu,4689003027613801216,67,4.3747,5.6500,-1.2621,-0.3706,1,0,0.0547,-0.8915
lin,True,nu,4689003027613801216,68,4.3747,5.6500,-0.3737,-0.4651,1,0,0.4230,0.0914
lin,True,nu,4689037181200454656,67,4.2742,4.8700,-0.6231,-0.6380,1,0,0.2382,0.0149
lin,True,nu,4689037181200454656,68,4.2742,4.8700,-0.5318,-0.5936,1,0,0.2939,0.0618
lin,True,nu,4689054670286883968,28,4.1271,4.8500,-0.3219,-0.6698,1,0,0.4765,0.3478
lin,True,nu,4689054945164735616,28,4.3747,5.5400,-0.3862,-0.2973,1,0,0.4109,-0.0889
lin,True,nu,4689054945164735616,67,4.3747,5.5400,-0.3837,-0.2614,1,0,0.4134,-0.1223
lin,True,nu,4689062298150064640,27,4.4281,5.2800,0.0565,-0.3632,1,5,1.1390,0.4197
