id,gaia,sector,noise_added,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
BN_Gem,-1,71,0,log,False,0,162.53,2.0729,2.0658,1.7844,7.1372,0.085981,0.037486,0.046392,13264,23.612,14785,2.0002,True,True
BN_Gem,-1,71,0,log,True,0,162.53,2.0729,2.0658,1.7844,7.1372,0.085981,0.037486,0.046392,13264,23.612,14785,2.0002,True,True
BN_Gem,-1,71,0,lin,False,0,190.12,2.2506,2.0554,1.4571,2.3173,0.039016,0.046872,0.36009,11318,23.612,14785,2.0002,True,True
BN_Gem,-1,71,0,lin,True,0,190.12,2.2506,2.0554,1.4571,2.3173,0.039016,0.046872,0.36009,11318,23.612,14785,2.0002,True,True
CPD-47_2963,-1,8,0,log,False,0,177.14,2.3729,2.7606,1.6876,6.3779,0.06308,0.041402,0.022268,15466,24.356,13169,2,True,True
CPD-47_2963,-1,8,0,log,True,0,177.14,2.3729,2.7606,1.6876,6.3779,0.06308,0.041402,0.022268,15466,24.356,13169,2,True,True
CPD-47_2963,-1,8,0,lin,False,0,220.14,2.2715,2.3381,0.68799,2.1616,0.03004,0.047015,0.33164,13452,24.356,13169,2,True,True
CPD-47_2963,-1,8,0,lin,True,1,220.21,2.2706,2.3361,0.67614,2.1632,0.030052,0.046964,0.33179,13453,24.356,13169,2,True,True
CPD-47_2963,-1,9,0,log,False,0,166,1.9475,2.3357,1.336,6.9148,0.066574,0.035562,0.024,15037,24.496,16407,2,True,True
CPD-47_2963,-1,9,0,log,True,0,166,1.9475,2.3357,1.336,6.9148,0.066574,0.035562,0.024,15037,24.496,16407,2,True,True
CPD-47_2963,-1,9,0,lin,False,0,213.7,1.6779,1.9558,0.59891,2.2135,0.025682,0.034803,0.27038,14548,24.496,16407,2,True,True
CPD-47_2963,-1,9,0,lin,True,0,213.7,1.6779,1.9558,0.59891,2.2135,0.025682,0.034803,0.27038,14548,24.496,16407,2,True,True
CPD_-47_2963,-1,8,0,log,False,0,177.14,2.3729,2.7606,1.6876,6.3779,0.06308,0.041402,0.022268,15466,24.356,13169,2,True,True
CPD_-47_2963,-1,8,0,log,True,0,177.14,2.3729,2.7606,1.6876,6.3779,0.06308,0.041402,0.022268,15466,24.356,13169,2,True,True
CPD_-47_2963,-1,8,0,lin,False,0,220.14,2.2715,2.3381,0.68799,2.1616,0.03004,0.047015,0.33164,13452,24.356,13169,2,True,True
CPD_-47_2963,-1,8,0,lin,True,1,220.21,2.2706,2.3361,0.67614,2.1632,0.030052,0.046964,0.33179,13453,24.356,13169,2,True,True
