sector,qty,side,y,x,area,n_merged
67,nu,L,-0.5602,5.4516,45.0000,1
67,nu,L,-0.5717,5.4516,265.0000,1
67,nu,L,-0.5672,5.6619,50.0000,1
67,nu,L,-0.5803,5.9007,347.0000,1
67,nu,L,-0.5855,5.6619,412.0000,1
67,nu,L,-0.5844,4.7805,347.0000,1
67,nu,L,-0.5862,5.5518,45.0000,1
67,nu,L,-0.5978,5.5518,265.0000,1
67,nu,L,-0.6373,4.8746,247.0000,1
67,nu,L,-0.6461,4.2112,347.0000,1
67,nu,L,-0.6404,4.7612,95.0000,1
67,nu,L,-0.6569,4.2613,352.0000,1
67,nu,L,-0.6797,5.7805,347.0000,1
67,nu,L,-0.7790,5.2813,392.0000,1
67,nu,L,-0.8323,6.1110,45.0000,1
67,nu,L,-0.8501,6.1110,407.0000,1
67,nu,L,-0.8752,4.8706,90.0000,1
67,nu,L,-0.8902,5.4115,367.0000,1
67,nu,L,-0.8976,4.8706,452.0000,1
67,nu,L,-0.9340,5.5117,352.0000,1
67,a,T,2.1256,4.4282,45.0000,1
67,a,T,2.0971,4.4282,255.0000,1
67,a,T,2.0773,4.4694,347.0000,1
67,a,T,2.0383,4.3480,45.0000,1
67,a,T,2.0098,4.3480,255.0000,1
67,a,T,1.9642,4.2478,45.0000,1
67,a,T,1.9494,4.5525,45.0000,1
67,a,T,1.9357,4.2478,255.0000,1
67,a,T,1.9209,4.5525,255.0000,1
67,a,T,1.8566,4.4282,347.0000,1
67,a,T,1.8517,4.3763,347.0000,1
67,a,T,1.8671,4.2737,45.0000,1
67,a,T,1.8393,4.2737,265.0000,1
67,a,T,1.8270,4.5761,347.0000,1
67,a,T,1.8292,3.9777,45.0000,1
67,a,T,1.8007,3.9777,255.0000,1
67,a,T,1.7759,4.4282,347.0000,1
67,a,T,1.7140,3.9777,45.0000,1
67,a,T,1.6893,3.9777,412.0000,2
67,a,T,1.6229,4.4282,429.0000,2
67,a,T,1.5962,4.1298,52.0000,1
67,a,T,1.5664,4.1299,298.0000,1
67,a,T,1.5426,3.9542,480.0000,2
67,a,T,1.5524,4.3745,317.0000,1
67,a,T,1.5098,4.1978,322.0000,1
67,a,T,1.4925,4.3745,150.0000,1
67,a,T,1.4393,3.9293,415.0000,2
67,a,T,1.4302,4.5272,347.0000,1
67,a,T,1.4456,4.3745,45.0000,1
67,a,T,1.4178,4.3745,265.0000,1
67,a,T,1.3730,4.1298,352.0000,1
67,a,T,1.2614,4.4759,636.0000,2
