483 tables in 370 catalogs
I/221/lmc                    (1) [Magellanic Cloud] The Large Magellanic Cloud ( Tucholke H.-J., de Boer K.S., Seitter W.C.)
J/A+A/674/A63                (4) [TESS] Eq.2 PHOENIX, Gaia, Kepler,TESS,CHEOPS/M1 ( Claret A., Southworth J.)
J/A+A/675/A154               (2) [ULLYSES,XShootU] Photometric, spectroscopic and multiplicity of ULLYSES/XShootU targets, ordered by RA ( Vink J.S., Mehner A., 
J/A+A/675/A183               (1) [TESS] TOI 1054 TESS and CHEOPS photometry ( Cabrera J., Gandolfi D., Serrano L.M., et al.)
J/A+A/675/A52                (1) [TESS] TESS photometry of GJ 1018 ( Castro-Gonzalez A., Demangeon O.D.S., Lillo-Box J., et al.)
J/A+A/676/A28                (1) [TESS] TESS light curves ( Tarczay-Nehez D., Molnar L., Bodi A., Szabo R.)
J/A+A/676/A55                (1) [TESS] Catalog information and rotational periods and amplitudes from TESS photometry for 782 mCP stars ( Labadie-Bar
J/A+A/677/A21                (1) [TESS] Catalog of asteroseismic, spectroscopic, and astrometric properties for TESS + APOGEE red giants ( Khan S., Mi
J/A+A/678/A200               (2) [TESS] TESS detrended photometry ( Delrez L., Leleu A., Brandeker A., et al.)
J/A+A/682/A49                (1) [massive stars] EWOCS X-ray counterparts of the massive stars in Westerlund 1 listed in Clark et al. (2020A&A...635A.187C, Cat
J/A+A/682/A66                (1) [TESS] List of TESS and CHEOPS detrended light curve files ( Bonfanti A., Brady M., Wilson T.G., et al.)
J/A+A/684/A201               (1) [TESS] Renormalised photometric data of NGTS-26 and NGTS-27 from EulerCam, SAAO, and TESS ( Bouchy F., Gillen E., Tur
J/A+A/685/A5                 (1) [TESS] TESS photometry ( Psaridi A., Osborn H., Bouchy F., et al.)
J/A+A/685/A56                (1) [TESS] TOI-238 TESS SAP flux data ( Suarez Mascareno, A., Passegger V.M., et al.)
J/A+A/686/A164               (1) [TESS] Parameters of TESS radio stars ( Wang Y., Zhang L., Su T., Han X.L., Misra P.)
J/A+A/686/A301               (1) [TESS] Detrended TESS light curve ( Krenn A.F., Kubyshkina D., Fossati L., et al.)
J/A+A/687/A226               (1) [TESS] Photometric data obtained from the analysis of TESS satellite images ( Montalto M., Greco N., Biazzo K., et al
J/A+A/688/A104               (1) [XShootU] List of XShootU target ( Sana H., Tramper F., Abdul-Masih M., et al.)
J/A+A/688/A14                (1) [TESS] TESS light curve ( Sulis S., Crossfield I.J.M., Santerne A., et al.)
J/A+A/688/A211               (1) [TESS] Detrended TESS data ( Leleu A., Delisle J.-B., Delrez L., et al.)
J/A+A/688/A223               (1) [TESS] TESS photometry and model fits for HIP 29442 ( Egger J.A., Osborn H.P., Kubyshkina D., et al.)
J/A+A/688/A25                (1) [TESS] Classification of A-F spectral type stars in the southern TESS viewing zone ( Skarka M., Henzl Z.)
J/A+A/688/A49                (1) [TESS] Stellar parameters from Gaia, 2MASS, and TESS ( Joseph W.M., Stelzer B., Magaudda E., Vicanek Martinez T.)
J/A+A/689/A103               (1) [TESS] Flare parameters of TESS 20 second cadence data for 5471 stars ( Zhang L., Yang Z., Su T., Han X.L., Misra P.)
J/A+A/689/A52                (1) [TESS] TOI-1130 TESS photometry - selected transits ( Borsato L., Degen D., Leleu A., et al.)
J/A+A/690/A289               (1) [BLOeM] Aliases, K-band magnitudes, spectral types, and additional information for the 929 BLOeM targets ( Shenar T., 
